symbol,timeframe,strategy,side,entry_time,entry_price,stop,tp,size,exit_time,exit_price,pnl,reason
BTCUSDT,1h,smc,long,1672887600.0,16827.71,16768.40342,20193.251999999997,1,1672999200.0,16767.06,-60.64999999999782,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1673038800.0,16931.27,16835.551369999997,20317.524,1,1673654400.0,20891.67,3960.399999999998,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1673658000.0,20927.44,20484.2187,25112.927999999996,1,1678392000.0,20116.66,-810.7799999999988,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1678496400.0,20586.75,20013.345,24704.1,1,1678518000.0,19850.81,-735.9399999999987,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1678521600.0,20071.82,19764.34854,24086.183999999997,1,1678726800.0,24109.1,4037.279999999999,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1678730400.0,24256.15,23738.9526,29107.38,1,1681146000.0,29160.0,4903.8499999999985,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1681149600.0,29273.14,28823.85,35127.768,1,1681945200.0,28797.1,-476.0400000000009,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1682190000.0,27622.61,27441.09899,33147.132,1,1682323200.0,27185.75,-436.8600000000006,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1682326800.0,27313.1,27075.668579999998,32775.719999999994,1,1683824400.0,26907.28,-405.8199999999997,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1683943200.0,26779.94,26683.87749,32135.927999999996,1,1684321200.0,26637.62,-142.3199999999997,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1684357200.0,27364.96,27192.626650000002,32837.952,1,1684422000.0,27086.77,-278.1899999999987,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1684425600.0,27069.56,26900.61532,32483.472,1,1684429200.0,26488.99,-580.5699999999997,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1684522800.0,26834.46,26700.38781,32201.352,1,1684713600.0,26656.11,-178.34999999999854,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1684764000.0,26957.28,26689.18153,32348.735999999997,1,1684911600.0,26678.67,-278.6100000000006,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1685034000.0,26350.84,26090.0942,31621.007999999998,1,1685977200.0,26007.53,-343.3100000000013,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1686070800.0,26669.16,26027.6544,32002.992,1,1686369600.0,25765.28,-903.880000000001,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1686463200.0,25786.49,25690.03798,30943.788,1,1686772800.0,24934.21,-852.2800000000025,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1686866400.0,25629.3,25293.5694,30755.159999999996,1,1687532400.0,31238.0,5608.700000000001,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1687536000.0,31097.02,30574.66999,37316.424,1,1687564800.0,30488.2,-608.8199999999997,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1687568400.0,30605.3,30367.942039999998,36726.36,1,1687741200.0,30172.74,-432.5599999999977,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1687845600.0,30320.14,30157.23606,36384.168,1,1687953600.0,30101.99,-218.14999999999782,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1688032800.0,30697.11,30097.1979,36836.532,1,1688133600.0,30092.5,-604.6100000000006,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1688137200.0,30067.72,29910.0,36081.264,1,1688684400.0,29895.43,-172.29000000000087,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1688749200.0,30238.46,30095.83083,36286.151999999995,1,1688947200.0,30090.27,-148.1899999999987,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1689004800.0,30351.18,29938.59,36421.416,1,1689616800.0,29802.39,-548.7900000000009,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1689742800.0,30098.39,29964.88485,36118.068,1,1689753600.0,29923.28,-175.11000000000058,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1689757200.0,30006.3,29786.8705,36007.56,1,1689861600.0,29782.19,-224.11000000000058,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1689865200.0,29810.18,29538.15888,35772.216,1,1690189200.0,29178.01,-632.1700000000019,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1690293600.0,29177.5,29068.721429999998,35013.0,1,1690855200.0,28933.22,-244.27999999999884,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1690927200.0,29253.99,29092.46,35104.788,1,1690992000.0,29025.91,-228.08000000000175,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1690995600.0,29148.0,28840.7175,34977.6,1,1692226800.0,28730.51,-417.4900000000016,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1692468000.0,26126.44,25994.07313,31351.727999999996,1,1692612000.0,25944.01,-182.4300000000003,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1692666000.0,26050.0,25971.85,31260.0,1,1692716400.0,25936.61,-113.38999999999942,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1692774000.0,26057.13,25936.6559,31268.556,1,1692792000.0,25844.01,-213.12000000000262,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1692795600.0,26018.22,25554.6918,31221.864,1,1693587600.0,25478.86,-539.3600000000006,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1693663200.0,25866.0,25549.9893,31039.199999999997,1,1694440800.0,25147.75,-718.25,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1694505600.0,25766.93,25658.08413,30920.316,1,1698076800.0,31212.19,5445.259999999998,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1698080400.0,30979.74,30727.67958,37175.688,1,1699538400.0,37854.73,6874.990000000002,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1699542000.0,37084.02,36948.53087,44500.82399999999,1,1699545600.0,36337.07,-746.9499999999971,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1699549200.0,36625.27,35493.2,43950.32399999999,1,1699984800.0,35230.0,-1395.2699999999968,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1700056800.0,36111.1,35894.34295,43333.32,1,1700607600.0,35741.65,-369.4499999999971,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1700676000.0,37197.99,36196.9443,44637.587999999996,1,1704153600.0,45056.0,7858.010000000002,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1704157200.0,44855.96,44551.942,53827.151999999995,1,1704279600.0,43702.88,-1153.0800000000017,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1704376800.0,43676.07,42817.5,52411.284,1,1705096800.0,42510.0,-1166.0699999999997,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1705237200.0,42891.69,42308.3925,51470.028,1,1705269600.0,42270.99,-620.7000000000044,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1705323600.0,42852.54,42187.978800000004,51423.048,1,1705593600.0,41948.99,-903.5500000000029,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1705701600.0,41687.1,41393.0472,50024.52,1,1705885200.0,41363.37,-323.7299999999959,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1706065200.0,39614.0,39451.71871,47536.799999999996,1,1707498000.0,47652.24,8038.239999999998,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1707501600.0,47602.0,47347.00159,57122.4,1,1707516000.0,47272.61,-329.3899999999994,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1707519600.0,47132.77,46916.826,56559.32399999999,1,1707559200.0,46884.22,-248.54999999999563,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1707562800.0,47182.0,46383.1335,56618.4,1,1709035200.0,56786.95,9604.949999999997,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1709038800.0,57112.29,56039.8707,68534.74799999999,1,1709647200.0,68710.41,11598.120000000003,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1709650800.0,66773.05,66170.89,80127.66,1,1709654400.0,65495.98,-1277.0699999999997,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1709722800.0,67301.31,65843.50511,80761.572,1,1709787600.0,65800.0,-1501.3099999999977,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc,long,1709791200.0,65871.97,65465.73184,79046.364,1,1710630000.0,65300.63,-571.3400000000038,TP/SL/BMS/CHOCH
