symbol,timeframe,strategy,side,entry_time,entry_price,stop,tp,size,exit_time,exit_price,pnl,reason
BTCUSDT,1h,smc_loose,long,1672887600.0,16827.71,16768.40342,20193.251999999997,1,1672999200.0,16767.06,-60.64999999999782,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc_loose,long,1673002800.0,16738.22,16659.750360000002,20085.864,1,1673654400.0,20891.67,4153.449999999997,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc_loose,long,1673658000.0,20927.44,20484.2187,25112.927999999996,1,1678392000.0,20116.66,-810.7799999999988,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc_loose,long,1678395600.0,20213.61,19982.59184,24256.332,1,1678420800.0,19876.69,-336.9200000000019,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc_loose,long,1678424400.0,19990.1,19773.51097,23988.12,1,1678442400.0,19621.66,-368.4399999999987,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc_loose,long,1678446000.0,19760.78,19490.44273,23712.935999999998,1,1678719600.0,23981.72,4220.940000000002,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc_loose,long,1678723200.0,23955.16,23683.735,28746.192,1,1680141600.0,28964.76,5009.5999999999985,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc_loose,long,1680145200.0,28489.18,28005.78982,34187.015999999996,1,1680195600.0,27839.41,-649.7700000000004,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc_loose,long,1680199200.0,27903.69,27651.795,33484.428,1,1680552000.0,27582.78,-320.90999999999985,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc_loose,long,1680555600.0,27714.56,27377.62,33257.472,1,1682103600.0,27279.91,-434.65000000000146,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc_loose,long,1682107200.0,27270.88,27084.502,32725.056,1,1683824400.0,26907.28,-363.6000000000022,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc_loose,long,1683828000.0,26963.73,26662.6713,32356.476,1,1683856800.0,26646.7,-317.02999999999884,TP/SL/BMS/CHOCH
BTCUSDT,1h,smc_loose,long,1683860400.0,26584.32,26448.425969999997,31901.183999999997,1,1683867600.0,26276.67,-307.65000000000146,TP/SL/BMS/CHOCH
