symbol,timeframe,strategy,side,entry_time,entry_price,stop,tp,size,exit_time,exit_price,pnl,reason,entry_level,oi_filtered
BTCUSDT,30m,ThirtyMinStrategy,short,1672758000.0,16647.29,16798.13367,14483.142300000003,1,1672801200.0,16802.9,-155.61000000000058,TP/SL/BMS/CHOCH,AB,False
BTCUSDT,30m,ThirtyMinStrategy,long,1672803000.0,16862.02,16645.59296,19054.082599999998,1,1673622000.0,19281.98,2419.959999999999,TP/SL/BMS/CHOCH,AB,False
BTCUSDT,30m,ThirtyMinStrategy,long,1673623800.0,19261.19,19159.72376,21765.144699999997,1,1673625600.0,19123.06,-138.12999999999738,TP/SL/BMS/CHOCH,A,False
BTCUSDT,30m,ThirtyMinStrategy,short,1673627400.0,19133.39,19197.92922,16646.049300000002,1,1673629200.0,19328.42,-195.02999999999884,TP/SL/BMS/CHOCH,A,False
BTCUSDT,30m,ThirtyMinStrategy,long,1673631000.0,19256.06,19177.19874,21759.3478,1,1674244800.0,21874.31,2618.25,TP/SL/BMS/CHOCH,A,False
BTCUSDT,30m,ThirtyMinStrategy,long,1674248400.0,22285.87,22163.364439999998,25183.033099999997,1,1675971000.0,22032.71,-253.15999999999985,TP/SL/BMS/CHOCH,A,False
BTCUSDT,30m,ThirtyMinStrategy,short,1676064600.0,21536.31,21842.598,18736.589700000004,1,1676156400.0,21872.0,-335.6899999999987,TP/SL/BMS/CHOCH,A,False
BTCUSDT,30m,ThirtyMinStrategy,short,1676239200.0,21791.05,21841.62606,18958.2135,1,1676264400.0,21847.69,-56.63999999999942,TP/SL/BMS/CHOCH,A,False
BTCUSDT,30m,ThirtyMinStrategy,short,1676280600.0,21584.74,21693.01944,18778.723800000003,1,1676329200.0,21806.21,-221.46999999999753,TP/SL/BMS/CHOCH,A,False
BTCUSDT,30m,ThirtyMinStrategy,long,1676331000.0,21773.97,21723.29634,24604.5861,1,1676336400.0,21702.48,-71.4900000000016,TP/SL/BMS/CHOCH,A,False
BTCUSDT,30m,ThirtyMinStrategy,long,1676386800.0,22144.37,22088.57432,25023.138099999996,1,1676388600.0,22041.45,-102.91999999999825,TP/SL/BMS/CHOCH,A,False
BTCUSDT,30m,ThirtyMinStrategy,long,1676464200.0,22772.21,22694.62978,25732.597299999998,1,1676471400.0,22684.47,-87.73999999999796,TP/SL/BMS/CHOCH,A,False
BTCUSDT,30m,ThirtyMinStrategy,long,1676494800.0,24097.56,23961.6806,27230.2428,1,1676588400.0,23857.04,-240.52000000000044,TP/SL/BMS/CHOCH,A,False
BTCUSDT,30m,ThirtyMinStrategy,short,1676592000.0,23630.01,23746.387980000003,20558.1087,1,1676595600.0,23757.23,-127.22000000000116,TP/SL/BMS/CHOCH,A,False
BTCUSDT,30m,ThirtyMinStrategy,long,1676655000.0,24298.35,24229.80328,27457.135499999997,1,1676853000.0,24211.07,-87.27999999999884,TP/SL/BMS/CHOCH,A,False
BTCUSDT,30m,ThirtyMinStrategy,long,1676887200.0,24833.41,24715.619700000003,28061.753299999997,1,1676930400.0,24695.12,-138.29000000000087,TP/SL/BMS/CHOCH,A,False
BTCUSDT,30m,ThirtyMinStrategy,short,1676970000.0,24720.29,24813.03702,21506.652300000005,1,1678379400.0,21478.85,3241.4400000000023,TP/SL/BMS/CHOCH,A,False
BTCUSDT,30m,ThirtyMinStrategy,short,1678381200.0,21507.8,21568.00992,18711.786,1,1678658400.0,21803.04,-295.2400000000016,TP/SL/BMS/CHOCH,A,False
BTCUSDT,30m,ThirtyMinStrategy,long,1678660200.0,21702.38,21593.855740000003,24523.6894,1,1678789800.0,24569.36,2866.9799999999996,TP/SL/BMS/CHOCH,A,False
