symbol,strategy,side,entry_time,entry_price,stop,tp,size,exit_time,exit_price,pnl,reason
BTC/USDT,smc,long,1752175200,113461.15,112326.5385,114595.7615,1,1752182100,116195.25,2734.1,TP/SL/BMS/CHOCH
BTC/USDT,smc,long,1752182400,116020.36,114860.1564,117180.5636,1,1752210300,117276,1255.64,TP/SL/BMS/CHOCH
BTC/USDT,smc,long,1752210600,117206.41,116034.3459,118378.4741,1,1752226200,118420.01,1213.6,TP/SL/BMS/CHOCH
BTC/USDT,smc,long,1752226500,118783.94,117596.1006,119971.7794,1,1752240600,117396,-1387.94,TP/SL/BMS/CHOCH
BTC/USDT,smc,long,1752240900,117634.45,116458.1055,118810.7945,1,1752416100,119265.87,1631.42,TP/SL/BMS/CHOCH
