symbol,timeframe,strategy,side,entry_time,entry_price,stop,tp,size,exit_time,exit_price,pnl,reason,entry_level
BTCUSDT,1h,OneHourStrategy,short,1710140400.0,71019.99,71511.89399999999,58236.39180000001,1,1710147600.0,71770.0,-750.0099999999948,TP/SL/BMS/CHOCH,B
BTCUSDT,1h,OneHourStrategy,short,1713758400.0,65738.48,66075.80450999999,53905.5536,1,1713762000.0,66377.99,-639.5100000000093,TP/SL/BMS/CHOCH,B
