symbol,timeframe,strategy,side,entry_time,entry_price,stop,tp,size,exit_time,exit_price,pnl,reason,entry_level
BTCUSDT,4h,FourHourStrategy,long,1674230400.0,21496.67,20652.6672,26225.9374,1,1678392000.0,20362.22,-1134.449999999997,TP/SL/BMS/CHOCH,A
BTCUSDT,4h,FourHourStrategy,long,1679241600.0,28255.87,26558.9478,34472.1614,1,1683864000.0,26311.52,-1944.3499999999985,TP/SL/BMS/CHOCH,A
BTCUSDT,4h,FourHourStrategy,long,1684123200.0,27407.48,26558.9577,33437.1256,1,1684929600.0,26314.69,-1092.7900000000009,TP/SL/BMS/CHOCH,A
BTCUSDT,4h,FourHourStrategy,long,1685304000.0,28065.0,26864.649899999997,34239.299999999996,1,1685577600.0,26779.94,-1285.0600000000013,TP/SL/BMS/CHOCH,A
BTCUSDT,4h,FourHourStrategy,long,1687276800.0,27982.77,26487.45,34138.9794,1,1692316800.0,26398.0,-1584.7700000000004,TP/SL/BMS/CHOCH,A
BTCUSDT,4h,FourHourStrategy,short,1695297600.0,26584.02,27513.723100000003,20735.5356,1,1696190400.0,27992.57,-1408.5499999999993,TP/SL/BMS/CHOCH,A
BTCUSDT,4h,FourHourStrategy,long,1698091200.0,33069.99,30122.5518,40345.3878,1,1701648000.0,40709.77,7639.779999999999,TP/SL/BMS/CHOCH,A
BTCUSDT,4h,FourHourStrategy,long,1701792000.0,43814.36,40999.86,53453.5192,1,1702310400.0,40779.99,-3034.3700000000026,TP/SL/BMS/CHOCH,A
BTCUSDT,4h,FourHourStrategy,short,1704283200.0,43000.01,45865.019100000005,33540.0078,1,1704729600.0,46979.35,-3979.3399999999965,TP/SL/BMS/CHOCH,A
BTCUSDT,4h,FourHourStrategy,short,1706745600.0,42015.65,43899.6702,32772.207,1,1707336000.0,44349.6,-2333.949999999997,TP/SL/BMS/CHOCH,A
BTCUSDT,4h,FourHourStrategy,long,1709481600.0,62730.0,60706.8,76530.59999999999,1,1713355200.0,60304.95,-2425.050000000003,TP/SL/BMS/CHOCH,A
BTCUSDT,4h,FourHourStrategy,short,1714478400.0,60796.85,64870.633499999996,47421.543,1,1715788800.0,66006.23,-5209.379999999997,TP/SL/BMS/CHOCH,A
BTCUSDT,4h,FourHourStrategy,long,1716566400.0,69115.98,66148.0479,84321.4956,1,1718380800.0,65520.02,-3595.959999999999,TP/SL/BMS/CHOCH,A
BTCUSDT,4h,FourHourStrategy,long,1720281600.0,57857.99,55608.795,70586.7478,1,1720396800.0,55160.01,-2697.979999999996,TP/SL/BMS/CHOCH,A
BTCUSDT,4h,FourHourStrategy,long,1721145600.0,65165.43,62094.5721,79501.82459999999,1,1722628800.0,61498.33,-3667.0999999999985,TP/SL/BMS/CHOCH,A
BTCUSDT,4h,FourHourStrategy,short,1724760000.0,61709.13,63844.12,48133.121399999996,1,1727049600.0,64354.0,-2644.8700000000026,TP/SL/BMS/CHOCH,A
BTCUSDT,4h,FourHourStrategy,short,1727798400.0,61755.99,64771.9363,48169.6722,1,1728892800.0,64920.06,-3164.0699999999997,TP/SL/BMS/CHOCH,A
BTCUSDT,4h,FourHourStrategy,long,1732161600.0,96912.01,92206.62,118232.6522,1,1732636800.0,91683.89,-5228.119999999995,TP/SL/BMS/CHOCH,A
BTCUSDT,4h,FourHourStrategy,short,1735200000.0,95695.81,100564.8415,74642.7318,1,1736164800.0,102147.95,-6452.139999999999,TP/SL/BMS/CHOCH,A
BTCUSDT,4h,FourHourStrategy,long,1736496000.0,95073.95,90981.00989999999,115990.219,1,1736755200.0,90851.22,-4222.729999999996,TP/SL/BMS/CHOCH,A
BTCUSDT,4h,FourHourStrategy,long,1736812800.0,94861.4,89924.7888,115730.908,1,1740456000.0,89320.01,-5541.389999999999,TP/SL/BMS/CHOCH,A
BTCUSDT,4h,FourHourStrategy,short,1741521600.0,83080.41,87493.7851,64802.719800000006,1,1742803200.0,87689.52,-4609.110000000001,TP/SL/BMS/CHOCH,A
BTCUSDT,4h,FourHourStrategy,long,1745193600.0,87205.56,83110.0248,106390.78319999999,1,1747598400.0,106454.26,19248.699999999997,TP/SL/BMS/CHOCH,A
BTCUSDT,4h,FourHourStrategy,short,1749772800.0,104277.22,108900.725,81336.2316,1,1751472000.0,109676.14,-5398.919999999998,TP/SL/BMS/CHOCH,A
BTCUSDT,4h,FourHourStrategy,short,1751644800.0,107469.23,110202.11,83825.9994,1,1752076800.0,111750.0,-4280.770000000004,TP/SL/BMS/CHOCH,AB
