symbol,timeframe,strategy,side,entry_time,entry_price,stop,tp,size,exit_time,exit_price,pnl,reason,entry_level,oi_filtered
ETHUSDT,15m,FifteenMinStrategy,short,1672624800.0,1196.26,1201.1956400000001,1076.6339999999998,1,1672631100.0,1201.94,-5.680000000000064,TP/SL/BMS/CHOCH,B,False
ETHUSDT,15m,FifteenMinStrategy,long,1672632000.0,1200.47,1197.73972,1320.517,1,1673259300.0,1323.0,122.52999999999997,TP/SL/BMS/CHOCH,A,False
ETHUSDT,15m,FifteenMinStrategy,long,1673260200.0,1324.3,1313.29814,1456.73,1,1673647200.0,1457.87,133.56999999999994,TP/SL/BMS/CHOCH,A,False
ETHUSDT,15m,FifteenMinStrategy,short,1673648100.0,1460.97,1469.856,1314.8729999999998,1,1673655300.0,1476.76,-15.789999999999964,TP/SL/BMS/CHOCH,B,False
ETHUSDT,15m,FifteenMinStrategy,long,1673657100.0,1540.62,1527.89808,1694.682,1,1673687700.0,1523.58,-17.039999999999964,TP/SL/BMS/CHOCH,A,False
ETHUSDT,15m,FifteenMinStrategy,short,1673694000.0,1532.69,1542.144,1379.4209999999998,1,1673735400.0,1550.27,-17.579999999999927,TP/SL/BMS/CHOCH,B,False
ETHUSDT,15m,FifteenMinStrategy,short,1673736300.0,1551.06,1560.00516,1395.9539999999997,1,1673830800.0,1572.39,-21.330000000000155,TP/SL/BMS/CHOCH,B,False
ETHUSDT,15m,FifteenMinStrategy,long,1673836200.0,1579.41,1572.48872,1737.3510000000003,1,1673838000.0,1568.3,-11.110000000000127,TP/SL/BMS/CHOCH,A,False
ETHUSDT,15m,FifteenMinStrategy,long,1673839800.0,1565.52,1559.0388,1722.0720000000001,1,1673856000.0,1539.81,-25.710000000000036,TP/SL/BMS/CHOCH,B,False
ETHUSDT,15m,FifteenMinStrategy,short,1673856900.0,1539.91,1547.8695599999999,1385.9189999999999,1,1673863200.0,1550.47,-10.559999999999945,TP/SL/BMS/CHOCH,A,False
ETHUSDT,15m,FifteenMinStrategy,short,1673870400.0,1545.47,1552.00328,1390.9229999999998,1,1673884800.0,1556.66,-11.190000000000055,TP/SL/BMS/CHOCH,B,False
ETHUSDT,15m,FifteenMinStrategy,short,1673894700.0,1572.55,1580.98876,1415.2949999999998,1,1673895600.0,1589.1,-16.549999999999955,TP/SL/BMS/CHOCH,B,False
ETHUSDT,15m,FifteenMinStrategy,long,1673896500.0,1587.35,1580.3928799999999,1746.085,1,1673903700.0,1577.99,-9.3599999999999,TP/SL/BMS/CHOCH,A,False
ETHUSDT,15m,FifteenMinStrategy,short,1673913600.0,1579.71,1587.324,1421.7389999999998,1,1673964000.0,1589.45,-9.740000000000009,TP/SL/BMS/CHOCH,B,False
ETHUSDT,15m,FifteenMinStrategy,long,1673964900.0,1586.07,1581.83,1744.6770000000001,1,1673965800.0,1573.38,-12.689999999999827,TP/SL/BMS/CHOCH,A,False
