ts,open,high,low,close,vol
1672531200,1196.13,1196.74,1191.71,1194.04,20292.0602
1672545600,1194.05,1195.75,1190.57,1195.06,18654.4594
1672560000,1195.07,1197.41,1193.98,1196.34,10749.1851
1672574400,1196.35,1198.5,1193.54,1196.81,15490.8573
1672588800,1196.81,1204.51,1195.88,1201.78,31016.5151
1672603200,1201.77,1204.67,1199.36,1200.34,21558.9914
1672617600,1200.33,1203.53,1193.0,1201.94,32154.2478
1672632000,1201.94,1220.0,1199.87,1213.09,66008.5222
1672646400,1213.08,1224.29,1212.74,1217.35,66284.4263
1672660800,1217.35,1220.98,1214.04,1219.0,36928.9083
1672675200,1219.0,1220.29,1215.74,1218.87,19161.1508
1672689600,1218.88,1223.85,1211.22,1214.0,32256.8846
1672704000,1213.99,1216.81,1211.5,1215.59,24749.0492
1672718400,1215.58,1219.89,1213.41,1216.61,21528.6796
1672732800,1216.61,1218.57,1213.99,1214.98,29878.862
1672747200,1214.98,1219.24,1206.0,1211.76,58325.5432
1672761600,1211.77,1212.76,1204.93,1209.5,34435.0998
1672776000,1209.51,1216.39,1209.44,1214.55,36602.2606
1672790400,1214.56,1254.96,1212.71,1250.74,139538.0914
1672804800,1250.73,1254.54,1247.3,1252.0,68736.3706
1672819200,1252.0,1264.0,1248.59,1251.58,46922.3247
1672833600,1251.59,1258.09,1241.89,1255.88,71909.5254
1672848000,1255.89,1272.6,1251.12,1254.38,94491.386
1672862400,1254.39,1257.7,1245.44,1256.9,36201.9667
1672876800,1256.91,1259.95,1252.19,1252.77,44218.6322
1672891200,1252.77,1255.0,1247.48,1251.03,39603.8474
1672905600,1251.03,1256.14,1245.3,1255.91,51362.3283
1672920000,1255.9,1256.01,1242.81,1249.11,74344.8435
1672934400,1249.11,1254.98,1246.71,1253.62,27613.9471
1672948800,1253.62,1254.31,1248.19,1251.24,35661.7315
1672963200,1251.25,1257.98,1248.17,1251.02,36134.6253
1672977600,1251.01,1252.3,1246.0,1247.7,36517.4347
1672992000,1247.69,1250.0,1237.98,1243.4,43029.3828
1673006400,1243.4,1265.0,1236.0,1263.01,115164.3871
1673020800,1263.01,1276.7,1260.22,1273.13,74675.9477
1673035200,1273.12,1276.36,1265.17,1269.14,36822.4247
1673049600,1269.13,1271.09,1265.22,1266.54,20304.6899
1673064000,1266.53,1267.0,1262.24,1266.8,19896.1791
1673078400,1266.8,1267.11,1262.89,1263.79,20714.8241
1673092800,1263.79,1265.76,1261.3,1265.07,20223.1474
1673107200,1265.07,1266.0,1261.87,1265.38,14637.7041
1673121600,1265.39,1266.61,1261.87,1264.07,33697.7438
1673136000,1264.06,1264.61,1257.77,1262.84,30603.3252
1673150400,1262.84,1264.55,1262.2,1263.64,9805.3628
1673164800,1263.65,1266.22,1261.65,1261.67,19946.6609
1673179200,1261.68,1275.54,1261.27,1274.25,32142.49
1673193600,1274.25,1280.0,1261.91,1265.09,40483.9396
1673208000,1265.09,1296.0,1264.39,1290.16,80655.0063
1673222400,1290.15,1313.61,1285.44,1310.37,152374.4224
1673236800,1310.37,1314.73,1307.58,1311.92,60588.9468
1673251200,1311.93,1327.5,1308.34,1318.27,93762.7738
1673265600,1318.28,1341.86,1315.44,1335.68,113559.729
1673280000,1335.69,1344.91,1330.11,1330.12,94295.3534
1673294400,1330.11,1331.62,1315.08,1320.39,67146.4714
1673308800,1320.4,1329.45,1316.8,1324.71,86084.1504
1673323200,1324.71,1328.68,1322.49,1323.23,70803.2399
1673337600,1323.22,1334.73,1321.7,1329.32,53075.2166
1673352000,1329.32,1340.9,1323.07,1333.97,90717.9053
1673366400,1333.97,1344.04,1328.0,1339.48,94451.0665
1673380800,1339.48,1347.69,1333.8,1335.62,64528.652
1673395200,1335.63,1341.5,1327.29,1331.07,60339.7436
1673409600,1331.07,1335.7,1327.19,1335.52,41489.9617
1673424000,1335.53,1338.2,1331.39,1336.45,41252.3676
1673438400,1336.44,1336.45,1321.04,1323.04,59602.2869
1673452800,1323.05,1345.0,1321.86,1342.92,83148.8081
1673467200,1342.91,1398.0,1339.43,1389.39,186632.7877
1673481600,1389.4,1418.77,1386.0,1400.99,197850.4438
1673496000,1400.99,1405.12,1393.45,1398.45,69844.9954
1673510400,1398.44,1403.11,1394.86,1397.78,81416.3452
1673524800,1397.78,1408.0,1361.92,1386.07,254028.2723
1673539200,1386.07,1437.6,1383.25,1425.86,178938.8557
1673553600,1425.86,1438.0,1414.06,1415.92,95633.5368
1673568000,1415.91,1418.14,1401.03,1415.01,79837.8118
1673582400,1415.0,1415.64,1405.4,1408.12,34175.0075
1673596800,1408.11,1419.5,1404.0,1409.71,68242.215
1673611200,1409.71,1424.48,1401.61,1421.98,85384.1463
1673625600,1421.98,1425.28,1406.96,1420.23,84526.8179
1673640000,1420.23,1464.0,1417.35,1451.2,147211.8664
1673654400,1451.21,1599.98,1449.14,1556.08,366877.6818
1673668800,1556.08,1557.62,1541.28,1553.43,94028.4335
1673683200,1553.43,1564.69,1503.34,1530.09,202259.8239
1673697600,1530.08,1546.88,1507.15,1525.18,151341.1521
1673712000,1525.19,1538.2,1523.18,1529.49,69728.5418
1673726400,1529.49,1559.91,1527.12,1549.9,56456.1443
1673740800,1549.91,1552.22,1516.03,1525.4,86113.6232
1673755200,1525.4,1530.25,1521.54,1529.16,27575.1463
1673769600,1529.16,1535.04,1518.76,1533.35,55517.1734
1673784000,1533.36,1560.16,1528.93,1556.35,74621.4045
1673798400,1556.35,1566.66,1533.0,1550.15,103013.8094
1673812800,1550.14,1560.93,1542.29,1552.52,40991.557
1673827200,1552.52,1584.58,1540.54,1569.19,127804.625
1673841600,1569.19,1578.54,1562.25,1565.95,64318.8813
1673856000,1565.96,1566.25,1523.2,1542.32,97848.0626
1673870400,1542.31,1553.38,1521.31,1549.97,89195.2216
1673884800,1549.97,1604.5,1545.71,1591.23,118760.1296
1673899200,1591.22,1599.26,1572.95,1576.94,76695.9752
1673913600,1576.94,1582.6,1541.15,1563.59,93745.183
1673928000,1563.59,1577.55,1558.16,1563.35,42850.0712
1673942400,1563.35,1572.03,1558.2,1569.07,47569.9673
1673956800,1569.08,1609.0,1560.97,1571.4,181172.1767
1673971200,1571.41,1599.14,1565.0,1588.85,87978.2339
1673985600,1588.86,1592.64,1563.69,1565.57,53456.0898
1674000000,1565.56,1592.01,1562.93,1582.01,72696.9906
1674014400,1582.0,1588.72,1578.86,1583.14,48192.2009
1674028800,1583.14,1583.77,1570.67,1575.9,50015.5475
1674043200,1575.9,1610.0,1533.02,1549.75,231844.5513
1674057600,1549.63,1566.88,1501.39,1541.96,271354.3553
1674072000,1541.96,1544.78,1507.9,1511.43,78431.2401
1674086400,1511.44,1528.0,1509.15,1524.82,44384.0335
1674100800,1524.82,1532.5,1524.82,1528.65,23973.4407
1674115200,1528.65,1531.64,1516.17,1519.61,35634.261
1674129600,1519.6,1547.86,1513.33,1533.09,93954.57
1674144000,1533.09,1554.52,1522.65,1551.95,62818.4117
1674158400,1551.95,1564.43,1544.27,1551.09,47914.7476
1674172800,1551.09,1563.88,1545.51,1554.54,35353.6363
1674187200,1554.55,1556.66,1542.02,1550.33,39956.0861
1674201600,1550.32,1555.85,1545.26,1549.49,36014.1284
1674216000,1549.48,1569.9,1549.02,1563.69,55431.9961
1674230400,1563.69,1601.53,1561.61,1600.49,107459.9806
1674244800,1600.49,1669.9,1600.48,1658.52,166355.1699
1674259200,1658.53,1676.61,1642.6,1648.8,83760.1883
1674273600,1648.81,1654.92,1645.04,1651.19,35708.0895
1674288000,1651.2,1679.26,1616.21,1647.04,163142.8732
1674302400,1647.04,1667.29,1643.29,1647.26,81077.8213
1674316800,1647.27,1668.88,1645.84,1663.19,60480.18
1674331200,1663.18,1667.97,1622.09,1626.66,70079.4486
1674345600,1626.65,1636.49,1604.0,1622.5,66559.4086
1674360000,1622.51,1631.15,1620.77,1627.08,41253.7608
1674374400,1627.07,1631.85,1618.47,1624.57,48766.0259
1674388800,1624.57,1650.51,1617.54,1635.51,97096.8894
1674403200,1635.5,1663.89,1629.61,1635.1,78374.6576
1674417600,1635.11,1636.34,1607.06,1627.44,99678.9486
1674432000,1627.43,1642.58,1625.68,1630.41,49293.585
1674446400,1630.41,1638.0,1627.88,1633.3,34571.3836
1674460800,1633.31,1640.0,1630.3,1636.67,41781.9039
1674475200,1636.66,1648.09,1585.29,1620.85,146655.2153
1674489600,1620.84,1640.49,1610.04,1619.88,96326.615
1674504000,1619.89,1635.75,1618.65,1626.29,38638.4128
1674518400,1626.28,1641.46,1622.8,1639.01,48038.2925
1674532800,1639.02,1640.78,1633.25,1635.77,37018.3382
1674547200,1635.77,1637.28,1614.39,1625.6,65525.1506
1674561600,1625.59,1632.12,1604.0,1620.58,87666.0861
1674576000,1620.57,1624.31,1606.48,1622.41,55114.1003
1674590400,1622.42,1624.45,1535.0,1555.97,168913.3566
1674604800,1555.97,1557.0,1518.0,1546.63,135818.9948
1674619200,1546.63,1558.91,1545.2,1553.81,50024.0799
1674633600,1553.82,1556.8,1538.59,1545.49,57062.7222
1674648000,1545.5,1566.58,1525.0,1543.95,129267.8692
1674662400,1543.95,1562.18,1541.39,1561.48,61308.4279
1674676800,1561.49,1641.0,1561.48,1611.94,212992.8226
1674691200,1611.95,1632.84,1610.14,1614.87,87545.7972
1674705600,1614.87,1621.9,1597.3,1604.68,83638.5053
1674720000,1604.69,1610.45,1590.0,1604.33,66723.6521
1674734400,1604.33,1621.06,1584.12,1589.79,167389.2157
1674748800,1589.71,1607.27,1577.43,1603.77,75532.7685
1674763200,1603.78,1611.26,1594.38,1601.09,51947.9078
1674777600,1601.08,1606.53,1552.54,1565.73,138443.5824
1674792000,1565.74,1589.9,1563.08,1585.4,57728.6346
1674806400,1585.4,1586.06,1573.33,1578.84,44895.7526
1674820800,1578.84,1594.55,1561.0,1574.86,109611.9593
1674835200,1574.86,1611.79,1573.98,1609.7,81893.9082
1674849600,1609.7,1621.0,1586.75,1597.62,79519.5504
1674864000,1597.61,1606.83,1592.49,1598.96,43914.0457
1674878400,1598.96,1603.39,1585.81,1592.68,38368.729
1674892800,1592.68,1594.0,1578.63,1586.18,52293.1251
1674907200,1586.19,1586.19,1561.76,1578.43,96820.7641
1674921600,1578.42,1580.55,1569.69,1577.12,33277.803
1674936000,1577.12,1577.59,1555.99,1572.1,49001.1905
1674950400,1572.1,1618.99,1566.33,1594.36,128896.1779
1674964800,1594.36,1599.39,1588.45,1592.58,31529.0588
1674979200,1592.59,1619.79,1588.97,1609.08,86101.0116
1674993600,1609.08,1626.64,1603.52,1611.44,84247.4996
