ts,open,high,low,close,vol
1672531200,16541.77,16559.77,16508.39,16533.04,15515.82327
1672545600,16533.04,16550.0,16499.01,16526.19,16532.24115
1672560000,16525.7,16557.0,16505.2,16556.66,15915.96701
1672574400,16556.66,16572.94,16533.68,16558.73,15046.09096
1672588800,16558.73,16623.65,16558.0,16603.08,18532.64857
1672603200,16603.53,16628.0,16586.24,16616.75,15382.64278
1672617600,16617.17,16707.25,16548.7,16661.94,19463.4751
1672632000,16662.38,16769.51,16619.44,16721.28,26026.88178
1672646400,16721.27,16772.01,16704.07,16735.11,23267.94119
1672660800,16735.51,16750.0,16669.15,16734.66,21747.21491
1672675200,16734.66,16739.64,16707.12,16737.56,12314.73653
1672689600,16737.56,16799.23,16660.51,16672.87,19068.3224
1672704000,16672.78,16706.14,16647.81,16691.81,20183.45596
1672718400,16691.81,16778.4,16681.79,16729.74,21434.34333
1672732800,16730.15,16766.0,16698.15,16721.03,25576.16376
1672747200,16721.42,16773.0,16617.79,16676.94,42131.78382
1672761600,16677.54,16688.2,16605.28,16643.37,29519.13275
1672776000,16643.77,16695.0,16640.4,16675.18,20696.65771
1672790400,16675.65,16877.65,16652.66,16862.02,41904.57254
1672804800,16862.61,16910.98,16840.36,16869.44,30270.2531
1672819200,16869.49,16919.0,16831.13,16835.35,30320.64004
1672833600,16835.35,16863.09,16765.3,16854.05,40843.05953
1672848000,16853.55,16991.87,16787.85,16842.36,52076.35176
1672862400,16842.32,16869.56,16777.0,16850.36,24947.31165
1672876800,16850.36,16878.18,16807.72,16827.71,21763.76721
1672891200,16827.71,16849.37,16789.87,16823.64,21213.55835
1672905600,16823.05,16839.0,16780.75,16833.6,26296.22105
1672920000,16833.6,16879.82,16753.0,16842.94,41963.23448
1672934400,16842.94,16875.5,16800.5,16863.85,30157.4645
1672948800,16864.29,16873.52,16818.91,16831.85,22079.32082
1672963200,16831.85,16872.57,16802.01,16833.56,22896.56633
1672977600,16833.56,16837.87,16779.96,16794.06,24759.51652
1672992000,16794.33,16812.22,16709.88,16738.22,29976.56156
1673006400,16738.74,16849.0,16679.0,16840.82,52584.91113
1673020800,16840.1,16965.41,16805.04,16939.91,42771.69765
1673035200,16940.41,17041.0,16886.21,16950.65,34412.03096
1673049600,16950.31,16981.91,16930.46,16952.46,17943.00432
1673064000,16952.73,16954.45,16922.14,16948.09,15480.43183
1673078400,16948.18,16954.95,16908.07,16918.3,18936.72265
1673092800,16918.3,16947.7,16908.0,16940.42,20650.09476
1673107200,16940.6,16946.13,16916.0,16944.05,16073.99982
1673121600,16944.05,16951.92,16929.46,16943.57,15442.31542
1673136000,16943.83,16955.0,16911.0,16944.02,18295.79671
1673150400,16944.02,16957.12,16933.26,16953.77,14667.61069
1673164800,16953.77,16967.67,16925.05,16927.42,20434.41029
1673179200,16927.42,17019.79,16920.37,17000.43,23086.53831
1673193600,17000.43,17022.08,16916.1,16927.25,23557.66783
1673208000,16927.25,17176.99,16924.41,17127.83,35113.87312
1673222400,17127.83,17252.6,17104.66,17197.0,50799.16414
1673236800,17197.0,17262.56,17180.0,17198.48,33546.34885
1673251200,17198.01,17285.48,17186.95,17238.93,38468.19722
1673265600,17239.47,17335.35,17190.74,17268.49,50514.03168
1673280000,17268.49,17398.8,17268.02,17293.69,52520.91466
1673294400,17294.19,17313.3,17128.0,17178.26,40362.87068
1673308800,17179.04,17235.0,17146.34,17205.72,30946.1691
1673323200,17205.31,17233.91,17189.15,17203.2,25989.57305
1673337600,17203.2,17286.02,17187.73,17252.89,31083.00421
1673352000,17252.89,17375.0,17212.14,17327.7,57523.3681
1673366400,17327.7,17456.07,17282.0,17432.85,43079.81645
1673380800,17432.85,17499.0,17403.73,17440.66,32760.4949
1673395200,17440.64,17510.0,17366.58,17416.14,31946.4848
1673409600,17416.49,17462.99,17388.0,17446.65,29726.8908
1673424000,17447.02,17472.15,17408.68,17437.75,29986.37534
1673438400,17437.75,17437.75,17315.6,17332.43,49062.38496
1673452800,17331.9,17571.7,17320.42,17550.29,55789.51498
1673467200,17549.62,18000.0,17508.86,17943.26,65709.95565
1673481600,17943.26,18385.71,17907.25,18224.68,82494.53271
1673496000,18224.68,18241.43,18075.19,18138.22,37256.18339
1673510400,18138.21,18222.59,18071.06,18200.8,34254.13454
1673524800,18200.8,18380.47,17892.05,18086.62,130706.45782
1673539200,18087.28,19060.0,18054.61,18885.35,110884.4527
1673553600,18885.35,19117.04,18762.0,18846.62,58972.56062
1673568000,18846.62,18887.0,18714.12,18876.37,41728.30446
1673582400,18876.37,18883.79,18778.41,18824.25,33637.34382
1673596800,18825.0,19057.7,18810.01,18920.95,53635.34061
1673611200,18920.95,19310.91,18811.52,19261.19,84962.31802
1673625600,19261.19,19406.26,19060.15,19362.01,76088.31369
1673640000,19363.43,20000.0,19315.77,19930.01,78564.25763
1673654400,19930.01,21258.0,19888.05,20967.23,132906.52741
1673668800,20967.23,21033.64,20777.37,20897.36,44676.34594
1673683200,20897.36,21022.39,20225.06,20721.73,79770.25474
1673697600,20721.03,21200.0,20568.12,20786.74,70757.33684
1673712000,20785.85,20911.23,20660.0,20783.68,40261.90826
1673726400,20783.68,21072.27,20758.0,20954.92,25541.37632
1673740800,20952.76,21001.84,20551.01,20719.09,38036.35096
1673755200,20719.09,20789.58,20666.88,20735.69,20276.51594
1673769600,20735.69,20759.0,20573.13,20722.23,28650.05726
1673784000,20722.23,20994.05,20652.24,20908.28,32504.50894
1673798400,20906.97,21050.74,20665.0,20870.15,37663.66746
1673812800,20870.15,20952.37,20746.39,20871.5,21411.12493
1673827200,20872.99,21439.59,20770.2,21075.68,65696.37043
1673841600,21074.8,21260.0,21037.64,21109.23,32932.04546
1673856000,21109.4,21113.22,20666.0,20817.56,49457.76438
1673870400,20816.63,21053.89,20611.48,20994.17,50011.28024
