ts,oi
1777381200,2022359.199
1777384800,2021461.805
1777388400,2025710.992
1777392000,2027027.233
1777395600,2021772.909
1777399200,2020420.24
1777402800,2012710.944
1777406400,1996884.823
1777410000,1986704.666
1777413600,1972565.142
1777417200,1973831.338
1777420800,1972638.045
1777424400,1973241.954
1777428000,1974543.442
1777431600,1967152.479
1777435200,1963933.355
1777438800,1966058.633
1777442400,1970084.29
1777446000,1999537.926
1777449600,2000011.673
1777453200,1995992.587
1777456800,1994023.211
1777460400,1997515.855
1777464000,1999124.846
1777467600,1977587.941
1777471200,1973548.829
1777474800,1976074.16
1777478400,1978529.499
1777482000,1986590.498
1777485600,1988282.008
1777489200,2015972.935
1777492800,2036194.639
1777496400,2018893.026
1777500000,2001015.391
1777503600,2006496.653
1777507200,2008835.556
1777510800,2008209.134
1777514400,2005031.01
1777518000,1999424.177
1777521600,1999476.713
1777525200,2012777.868
1777528800,2018322.215
1777532400,2014651.342
1777536000,2007555.592
1777539600,2014110.5
1777543200,2005420.992
1777546800,2002614.792
1777550400,2010417.813
1777554000,2008563.535
1777557600,2015291.813
1777561200,2012670.317
1777564800,2016230.829
1777568400,2012150.409
1777572000,2010223.42
1777575600,2007799.687
1777579200,2008245.159
1777582800,2006745.785
1777586400,2000058.71
1777590000,1999933.882
1777593600,2000359.632
1777597200,1998532.303
1777600800,2002093.715
1777604400,2005604.614
1777608000,1987325.77
1777611600,1990837.174
1777615200,1994321.399
1777618800,1999834.511
1777622400,2000922.538
1777626000,1999088.695
1777629600,2000467.882
1777633200,1999050.123
1777636800,2002149.92
1777640400,1981076.041
1777644000,1980955.844
1777647600,1992186.871
1777651200,1995029.706
1777654800,1989042.069
1777658400,1984060.948
1777662000,1984332.043
1777665600,1985286.459
1777669200,1957920.264
1777672800,1947815.426
1777676400,1947264.538
1777680000,1946089.368
1777683600,1946774.712
1777687200,1946317.399
1777690800,1943939.663
1777694400,1946106.091
1777698000,1948308.58
1777701600,1948624.652
1777705200,1950123.492
1777708800,1950822.497
1777712400,1952352.586
1777716000,1954458.959
1777719600,1950015.322
1777723200,1950736.232
1777726800,1949879.761
1777730400,1963587.345
1777734000,1963273.544
1777737600,1963768.321
1777741200,1966425.828
1777744800,1966485.363
1777748400,1966765.614
1777752000,1969128.081
1777755600,1969118.767
1777759200,1968052.558
1777762800,1971974.927
1777766400,1969398.271
1777770000,1975974.186
1777773600,1972847.889
1777777200,1973372.503
1777780800,1976788.955
1777784400,1977167.835
1777788000,1978396.529
1777791600,1981117.656
1777795200,1984791.137
1777798800,1986573.293
1777802400,2017582.983
1777806000,2017659.74
1777809600,2037236.648
1777813200,2049123.597
1777816800,2049752.912
1777820400,2052143.838
1777824000,2056977.434
1777827600,2064363.667
1777831200,2067315.77
1777834800,2068288.498
1777838400,2069960.362
1777842000,2075441.392
1777845600,2063408.591
1777849200,2088311.822
1777852800,2078940.205
1777856400,2059207.8
1777860000,2074984.462
1777863600,2136040.341
1777867200,2171456.577
1777870800,2193744.741
1777874400,2211753.187
1777878000,2193145.146
1777881600,2192923.012
1777885200,2199881.447
1777888800,2196208.005
1777892400,2133772.267
1777896000,2131358.612
1777899600,2129756.85
1777903200,2131666.773
1777906800,2126351.823
1777910400,2113526.608
1777914000,2112260.048
1777917600,2096600.76
1777921200,2088387.127
1777924800,2085346.378
1777928400,2080093.473
1777932000,2077582.204
1777935600,2078844.901
1777939200,2077922.274
1777942800,2079134.664
1777946400,2080533.663
1777950000,2086909.299
1777953600,2101287.608
1777957200,2113686.009
1777960800,2129189.487
1777964400,2114217.754
1777968000,2121339.865
1777971600,2116229.193
1777975200,2114861.097
1777978800,2120893.89
1777982400,2126554.732
1777986000,2142554.738
1777989600,2155639.991
1777993200,2118712.771
1777996800,2118589.273
