ts,oi
1777471200,98012.405
1777474800,97933.659
1777478400,97527.482
1777482000,97546.795
1777485600,97692.76
1777489200,94936.272
1777492800,95182.225
1777496400,95056.78
1777500000,94898.692
1777503600,95154.46
1777507200,95496.464
1777510800,95065.22
1777514400,95032.006
1777518000,95066.633
1777521600,95209.241
1777525200,95359.711
1777528800,95473.817
1777532400,95458.918
1777536000,95053.719
1777539600,95551.569
1777543200,95696.45
1777546800,95832.182
1777550400,95527.777
1777554000,95543.16
1777557600,95395.649
1777561200,95672.833
1777564800,96100.744
1777568400,96158.176
1777572000,96089.639
1777575600,96019.905
1777579200,95743.286
1777582800,95405.231
1777586400,95436.751
1777590000,95371.37
1777593600,95322.905
1777597200,95246.598
1777600800,95571.184
1777604400,95632.328
1777608000,95822.31
1777611600,96091.181
1777615200,96100.41
1777618800,96252.41
1777622400,96873.304
1777626000,97471.389
1777629600,97860.83
1777633200,98346.484
1777636800,98746.755
1777640400,100490.429
1777644000,102811.639
1777647600,102760.223
1777651200,104420.553
1777654800,105069.515
1777658400,105233.032
1777662000,105087.444
1777665600,104911.988
1777669200,104328.85
1777672800,103965.605
1777676400,104020.377
1777680000,103865.007
1777683600,103738.69
1777687200,103883.13
1777690800,103830.405
1777694400,104084.956
1777698000,103271.021
1777701600,102660.761
1777705200,102734.839
1777708800,102516.291
1777712400,102473.665
1777716000,102514.697
1777719600,102419.441
1777723200,102138.567
1777726800,102128.889
1777730400,102298.786
1777734000,102071.494
1777737600,102067.312
1777741200,102001.364
1777744800,101923.436
1777748400,101950.287
1777752000,102002.406
1777755600,102030.681
1777759200,101942.359
1777762800,102025.643
1777766400,102089.13
1777770000,102570.166
1777773600,102418.347
1777777200,102902.029
1777780800,102865.428
1777784400,102931.863
1777788000,102999.494
1777791600,102985.942
1777795200,102984.851
1777798800,103075.932
1777802400,103112.213
1777806000,103128.044
1777809600,103087.965
1777813200,103145.693
1777816800,103411.407
1777820400,103515.289
1777824000,103575.339
1777827600,103641.27
1777831200,103631.158
1777834800,103590.805
1777838400,103507.004
1777842000,103419.346
1777845600,103232.845
1777849200,104011.741
1777852800,103389.523
1777856400,102814.597
1777860000,103979.323
1777863600,107196.89
1777867200,108201.431
1777870800,108776.155
1777874400,109068.833
1777878000,107965.244
1777881600,108050.697
1777885200,108088.444
1777888800,108041.499
1777892400,100316.224
1777896000,101172.798
1777899600,100769.206
1777903200,101546.928
1777906800,105507.074
1777910400,107331.103
1777914000,108092.446
1777917600,108722.935
1777921200,109443.213
1777924800,109083.493
1777928400,108908.53
1777932000,108838.067
1777935600,108795.809
1777939200,108685.105
1777942800,108529.699
1777946400,108788.191
1777950000,109804.658
1777953600,111454.102
1777957200,112082.162
1777960800,111212.841
1777964400,111366.768
1777968000,111110.411
1777971600,111923.652
1777975200,111734.935
1777978800,111657.593
1777982400,113620.506
1777986000,114377.759
1777989600,114065.667
1777993200,114237.016
1777996800,115093.037
1778000400,114322.013
1778004000,114243.308
1778007600,114321.56
1778011200,113871.982
1778014800,113300.316
1778018400,112794.527
1778022000,113703.598
1778025600,113249.77
1778029200,113836.095
1778032800,113931.316
1778036400,113979.288
1778040000,114097.632
1778043600,114172.138
1778047200,113812.187
1778050800,113879.69
1778054400,113849.583
1778058000,113445.181
1778061600,111700.328
1778065200,111066.168
1778068800,110653.166
1778072400,109643.203
1778076000,108503.063
1778079600,107854.294
1778083200,107723.373
1778086800,107464.673
1778090400,107659.999
1778094000,107369.043
1778097600,107091.965
1778101200,107016.059
1778104800,106444.833
1778108400,106388.831
1778112000,106377.82
1778115600,107230.311
1778119200,107573.317
1778122800,107256.431
1778126400,107152.599
1778130000,106800.735
1778133600,106348.303
1778137200,106166.102
1778140800,107061.79
1778144400,106444.787
1778148000,105862.474
1778151600,105670.411
1778155200,105513.078
1778158800,105728.86
1778162400,106208.191
1778166000,105013.447
1778169600,104622.452
1778173200,104525.579
1778176800,104016.098
1778180400,103863.835
1778184000,103995.81
1778187600,103776.253
1778191200,103925.931
1778194800,103880.442
1778198400,103900.716
1778202000,104128.631
1778205600,104109.298
1778209200,104043.904
1778212800,103535.017
1778216400,103549.451
1778220000,103685.324
1778223600,103571.181
1778227200,103194.995
1778230800,103088.356
1778234400,102922.729
1778238000,103068.486
1778241600,103147.243
1778245200,103001.637
1778248800,102450.519
1778252400,102009.65
1778256000,101861.858
1778259600,101515.122
1778263200,100990.244
1778266800,100984.856
1778270400,101095.426
1778274000,100941.797
1778277600,100838.996
1778281200,100747.466
1778284800,100841.907
1778288400,100845.361
1778292000,101042.425
1778295600,101112.763
1778299200,101210.107
1778302800,101313.927
1778306400,101324.742
1778310000,101262.959
1778313600,100971.825
1778317200,100824.694
1778320800,100621.241
1778324400,100759.784
1778328000,100797.245
1778331600,100811.764
1778335200,100846.61
1778338800,100400.316
1778342400,100392.795
1778346000,100125.049
1778349600,100343.392
1778353200,100434.275
1778356800,100408.031
1778360400,100496.295
1778364000,100433.36
1778367600,100348.965
1778371200,100225.715
1778374800,100241.54
1778378400,99955.307
1778382000,99920.688
1778385600,100002.057
1778389200,99958.261
1778392800,100035.997
1778396400,99990.744
1778400000,99949.63
1778403600,99961.563
1778407200,100032.758
1778410800,99311.727
1778414400,99296.614
1778418000,99256.38
1778421600,99265.198
1778425200,99168.913
1778428800,99646.48
1778432400,100190.011
1778436000,100273.159
1778439600,100433.772
1778443200,100534.629
1778446800,98800.437
1778450400,98410.129
1778454000,99188.528
1778457600,100469.768
1778461200,98971.706
1778464800,98492.842
1778468400,97890.198
1778472000,96351.93
1778475600,96230.321
1778479200,96174.685
1778482800,96250.616
1778486400,96172.663
1778490000,96213.142
1778493600,96327.161
1778497200,96248.486
1778500800,96602.485
1778504400,97063.688
1778508000,96940.32
1778511600,97684.011
1778515200,98035.181
1778518800,98793.609
1778522400,99340.929
1778526000,99738.645
1778529600,100315.059
1778533200,100475.5
1778536800,100391.071
1778540400,100606.666
1778544000,100526.045
1778547600,100572.557
1778551200,100652.07
1778554800,100895.693
1778558400,101335.237
1778562000,101601.539
1778565600,101786.088
1778569200,102169.293
1778572800,101551.692
1778576400,101634.38
1778580000,101491.673
1778583600,101342.374
1778587200,101290.976
1778590800,101916.05
1778594400,102423.119
1778598000,102957.472
1778601600,104281.887
1778605200,105156.13
1778608800,105747.075
1778612400,106090.392
1778616000,106029.06
1778619600,105958.099
1778623200,105686.38
1778626800,105644.258
1778630400,105490.183
1778634000,105292.236
1778637600,105162.032
1778641200,105421.23
1778644800,105583.142
1778648400,105689.369
1778652000,105657.667
1778655600,105835.643
1778659200,105522.676
1778662800,105499.932
1778666400,106106.966
1778670000,105216.872
1778673600,104732.662
1778677200,104137.031
1778680800,103937.522
1778684400,103963.568
1778688000,103812.643
1778691600,104701.735
1778695200,104998.041
1778698800,104467.895
1778702400,104354.357
1778706000,104419.187
1778709600,104066.097
1778713200,104065.646
1778716800,104290.446
1778720400,104229.293
1778724000,104171.379
1778727600,104267.444
1778731200,104078.258
1778734800,104146.566
1778738400,103843.77
1778742000,103779.271
1778745600,103914.912
1778749200,104157.033
1778752800,104068.956
1778756400,104024.752
1778760000,104053.236
1778763600,103580.505
1778767200,105080.885
1778770800,105777.618
1778774400,107392.812
1778778000,108903.654
1778781600,110032.221
1778785200,110585.775
1778788800,110705.217
1778792400,110628.186
1778796000,110581.303
1778799600,110595.283
1778803200,110454.092
1778806800,110759.29
1778810400,110823.529
1778814000,110253.672
1778817600,109899.312
1778821200,109922.062
1778824800,108321.854
1778828400,108154.988
1778832000,107932.258
1778835600,107939.908
1778839200,107913.776
1778842800,107799.111
1778846400,107792.213
1778850000,106508.553
1778853600,102931.113
1778857200,102400.698
1778860800,102412.351
1778864400,102328.759
1778868000,102226.718
1778871600,102147.928
1778875200,102046.526
