區間,strategy,tp_r,tol_fvg,總損益,勝率,單數
2023-01-01~2023-07-01,smc,1.05,0.002,6104.26,21%,132
2023-01-01~2023-07-01,smc,1.05,0.003,6104.26,21%,132
2023-01-01~2023-07-01,smc,1.05,0.004,6104.26,21%,132
2023-01-01~2023-07-01,smc,1.05,0.005,6104.26,21%,132
2023-01-01~2023-07-01,smc,1.1,0.002,9176.94,21%,67
2023-01-01~2023-07-01,smc,1.1,0.003,9176.94,21%,67
2023-01-01~2023-07-01,smc,1.1,0.004,9176.94,21%,67
2023-01-01~2023-07-01,smc,1.1,0.005,9176.94,21%,67
2023-01-01~2023-07-01,smc,1.15,0.002,11098.6,21%,51
2023-01-01~2023-07-01,smc,1.15,0.003,11098.6,21%,51
2023-01-01~2023-07-01,smc,1.15,0.004,11098.6,21%,51
2023-01-01~2023-07-01,smc,1.15,0.005,11098.6,21%,51
2023-01-01~2023-07-01,smc,1.2,0.002,12098.47,21%,41
2023-01-01~2023-07-01,smc,1.2,0.003,12098.47,21%,41
2023-01-01~2023-07-01,smc,1.2,0.004,12098.47,21%,41
2023-01-01~2023-07-01,smc,1.2,0.005,12098.47,21%,41
2023-01-01~2023-07-01,smc_loose,1.05,0.002,12998.63,21%,152
2023-01-01~2023-07-01,smc_loose,1.05,0.003,12998.63,21%,152
2023-01-01~2023-07-01,smc_loose,1.05,0.004,12998.63,21%,152
2023-01-01~2023-07-01,smc_loose,1.05,0.005,12998.63,21%,152
2023-01-01~2023-07-01,smc_loose,1.1,0.002,12828.3,21%,53
2023-01-01~2023-07-01,smc_loose,1.1,0.003,12828.3,21%,53
2023-01-01~2023-07-01,smc_loose,1.1,0.004,12828.3,21%,53
2023-01-01~2023-07-01,smc_loose,1.1,0.005,12828.3,21%,53
2023-01-01~2023-07-01,smc_loose,1.15,0.002,12575.23,21%,47
2023-01-01~2023-07-01,smc_loose,1.15,0.003,12575.23,21%,47
2023-01-01~2023-07-01,smc_loose,1.15,0.004,12575.23,21%,47
2023-01-01~2023-07-01,smc_loose,1.15,0.005,12575.23,21%,47
2023-01-01~2023-07-01,smc_loose,1.2,0.002,13287.13,21%,38
2023-01-01~2023-07-01,smc_loose,1.2,0.003,13287.13,21%,38
2023-01-01~2023-07-01,smc_loose,1.2,0.004,13287.13,21%,38
2023-01-01~2023-07-01,smc_loose,1.2,0.005,13287.13,21%,38
