區間,strategy,tp_r,tol_fvg,總損益,勝率,單數
2024-07-01~2025-01-01,smc,1.05,0.002,-3628.7799999999916,0.0,2
2024-07-01~2025-01-01,smc,1.05,0.003,-3628.7799999999916,0.0,2
2024-07-01~2025-01-01,smc,1.05,0.004,-3628.7799999999916,0.0,2
2024-07-01~2025-01-01,smc,1.05,0.005,-3628.7799999999916,0.0,2
2024-07-01~2025-01-01,smc,1.1,0.002,-3628.7799999999916,0.0,2
2024-07-01~2025-01-01,smc,1.1,0.003,-3628.7799999999916,0.0,2
2024-07-01~2025-01-01,smc,1.1,0.004,-3628.7799999999916,0.0,2
2024-07-01~2025-01-01,smc,1.1,0.005,-3628.7799999999916,0.0,2
2024-07-01~2025-01-01,smc,1.15,0.002,-3628.7799999999916,0.0,2
2024-07-01~2025-01-01,smc,1.15,0.003,-3628.7799999999916,0.0,2
2024-07-01~2025-01-01,smc,1.15,0.004,-3628.7799999999916,0.0,2
2024-07-01~2025-01-01,smc,1.15,0.005,-3628.7799999999916,0.0,2
2024-07-01~2025-01-01,smc,1.2,0.002,-3628.7799999999916,0.0,2
2024-07-01~2025-01-01,smc,1.2,0.003,-3628.7799999999916,0.0,2
2024-07-01~2025-01-01,smc,1.2,0.004,-3628.7799999999916,0.0,2
2024-07-01~2025-01-01,smc,1.2,0.005,-3628.7799999999916,0.0,2
2024-07-01~2025-01-01,smc_loose,1.05,0.002,28092.81000000004,0.3382352941176471,68
2024-07-01~2025-01-01,smc_loose,1.05,0.003,28092.81000000004,0.3382352941176471,68
2024-07-01~2025-01-01,smc_loose,1.05,0.004,28092.81000000004,0.3382352941176471,68
2024-07-01~2025-01-01,smc_loose,1.05,0.005,28092.81000000004,0.3382352941176471,68
2024-07-01~2025-01-01,smc_loose,1.1,0.002,32462.899999999987,0.2619047619047619,42
2024-07-01~2025-01-01,smc_loose,1.1,0.003,32462.899999999987,0.2619047619047619,42
2024-07-01~2025-01-01,smc_loose,1.1,0.004,32462.899999999987,0.2619047619047619,42
2024-07-01~2025-01-01,smc_loose,1.1,0.005,32462.899999999987,0.2619047619047619,42
2024-07-01~2025-01-01,smc_loose,1.15,0.002,31694.81999999997,0.24,25
2024-07-01~2025-01-01,smc_loose,1.15,0.003,31694.81999999997,0.24,25
2024-07-01~2025-01-01,smc_loose,1.15,0.004,31694.81999999997,0.24,25
2024-07-01~2025-01-01,smc_loose,1.15,0.005,31694.81999999997,0.24,25
2024-07-01~2025-01-01,smc_loose,1.2,0.002,33744.179999999986,0.21052631578947367,19
2024-07-01~2025-01-01,smc_loose,1.2,0.003,33744.179999999986,0.21052631578947367,19
2024-07-01~2025-01-01,smc_loose,1.2,0.004,33744.179999999986,0.21052631578947367,19
2024-07-01~2025-01-01,smc_loose,1.2,0.005,33744.179999999986,0.21052631578947367,19
