區間,strategy,tp_r,tol_fvg,總損益,勝率,單數,sharpe,max_drawdown,profit_factor
2024-07-01~2025-01-01,smc,1.05,0.002,30.019999999999527,0.175,40,0.1673098185411429,1.7489421720733356,1.0289799109944102
2024-07-01~2025-01-01,smc,1.05,0.003,30.019999999999527,0.175,40,0.1673098185411429,1.7489421720733356,1.0289799109944102
2024-07-01~2025-01-01,smc,1.05,0.004,30.019999999999527,0.175,40,0.1673098185411429,1.7489421720733356,1.0289799109944102
2024-07-01~2025-01-01,smc,1.05,0.005,30.019999999999527,0.175,40,0.1673098185411429,1.7489421720733356,1.0289799109944102
2024-07-01~2025-01-01,smc,1.1,0.002,200.44999999999982,0.10256410256410256,39,0.7358846171314356,1.8089387190907704,1.178686040292387
2024-07-01~2025-01-01,smc,1.1,0.003,200.44999999999982,0.10256410256410256,39,0.7358846171314356,1.8089387190907704,1.178686040292387
2024-07-01~2025-01-01,smc,1.1,0.004,200.44999999999982,0.10256410256410256,39,0.7358846171314356,1.8089387190907704,1.178686040292387
2024-07-01~2025-01-01,smc,1.1,0.005,200.44999999999982,0.10256410256410256,39,0.7358846171314356,1.8089387190907704,1.178686040292387
2024-07-01~2025-01-01,smc,1.15,0.002,263.2899999999995,0.07894736842105263,38,0.8093779631349822,0.9005140348850634,1.2300098716683114
2024-07-01~2025-01-01,smc,1.15,0.003,263.2899999999995,0.07894736842105263,38,0.8093779631349822,0.9005140348850634,1.2300098716683114
2024-07-01~2025-01-01,smc,1.15,0.004,263.2899999999995,0.07894736842105263,38,0.8093779631349822,0.9005140348850634,1.2300098716683114
2024-07-01~2025-01-01,smc,1.15,0.005,263.2899999999995,0.07894736842105263,38,0.8093779631349822,0.9005140348850634,1.2300098716683114
2024-07-01~2025-01-01,smc,1.2,0.002,187.6999999999989,0.06060606060606061,33,0.6085127399310647,2.0533299180327957,1.1900432330636739
2024-07-01~2025-01-01,smc,1.2,0.003,187.6999999999989,0.06060606060606061,33,0.6085127399310647,2.0533299180327957,1.1900432330636739
2024-07-01~2025-01-01,smc,1.2,0.004,187.6999999999989,0.06060606060606061,33,0.6085127399310647,2.0533299180327957,1.1900432330636739
2024-07-01~2025-01-01,smc,1.2,0.005,187.6999999999989,0.06060606060606061,33,0.6085127399310647,2.0533299180327957,1.1900432330636739
2024-07-01~2025-01-01,smc_loose,1.05,0.002,2139.2700000000027,0.2007168458781362,279,1.5622502885131984,1.3920068027210861,1.3242133627548758
2024-07-01~2025-01-01,smc_loose,1.05,0.003,505.08000000000175,0.15673981191222572,319,0.352047570480871,2.6365360175902137,1.0673506452636663
2024-07-01~2025-01-01,smc_loose,1.05,0.004,-593.8100000000022,0.13836477987421383,318,-0.43731047698308706,1.6616722037652243,0.9223672237794416
2024-07-01~2025-01-01,smc_loose,1.05,0.005,311.64999999999736,0.1598639455782313,294,0.23940208167258267,2.058448764848535,1.0443101955392649
2024-07-01~2025-01-01,smc_loose,1.1,0.002,1226.5699999999997,0.10240963855421686,166,1.0508698500169045,2.084891815616183,1.2818735651466506
2024-07-01~2025-01-01,smc_loose,1.1,0.003,-130.38999999999714,0.0797872340425532,188,-0.11094240053027093,3.004497751124435,0.9739856830478998
2024-07-01~2025-01-01,smc_loose,1.1,0.004,-1187.429999999999,0.060109289617486336,183,-1.153921265263467,4.233223176911208,0.7576826772183801
2024-07-01~2025-01-01,smc_loose,1.1,0.005,-183.77999999999975,0.07878787878787878,165,-0.1786394991316228,2.389509525739764,0.9587864218101415
2024-07-01~2025-01-01,smc_loose,1.15,0.002,1273.4400000000005,0.09278350515463918,97,1.5343514895303114,0.41177875049741364,1.4905128382906934
2024-07-01~2025-01-01,smc_loose,1.15,0.003,233.10000000000082,0.07142857142857142,112,0.26443469534542624,0.8581245168868948,1.0707240185563323
2024-07-01~2025-01-01,smc_loose,1.15,0.004,26.199999999999818,0.06521739130434782,138,0.025936429334033118,0.9825766593736909,1.0068508553109816
2024-07-01~2025-01-01,smc_loose,1.15,0.005,229.9699999999989,0.06666666666666667,135,0.23321464192461938,0.8351244972433528,1.0641068884868519
2024-07-01~2025-01-01,smc_loose,1.2,0.002,-61.15999999999849,0.04411764705882353,68,-0.10498242225205295,2.1938497469832603,0.9679431404820068
2024-07-01~2025-01-01,smc_loose,1.2,0.003,-341.65000000000146,0.047058823529411764,85,-0.4672029361155538,1.3814761054042004,0.8742037630251477
2024-07-01~2025-01-01,smc_loose,1.2,0.004,-985.0300000000007,0.034782608695652174,115,-1.1198618864981695,2.3334280918345276,0.7137065014256109
2024-07-01~2025-01-01,smc_loose,1.2,0.005,-504.56000000000176,0.038834951456310676,103,-0.6165408738982177,1.6848738358241309,0.8279214910560505
