應用區間,策略,tp_r,tol_fvg,總損益_pct,勝率,單數,sharpe,max_drawdown,profit_factor
2023-07-01~2024-01-01,smc_loose,1.05,0.005,-1.656204,0.1687,83,-11.910846009934067,0.0,0.2196810856246947
2024-01-01~2024-07-01,smc_loose,1.05,0.002,-1.908258,0.2143,126,-9.352847786726239,0.0,0.2955481388796754
2024-07-01~2025-01-01,smc_loose,1.05,0.002,-1.111582,0.3037,135,-4.640995475508825,26.998244708889505,0.551547408872397
2025-01-01~2025-07-01,smc_loose,1.05,0.003,-1.487325,0.2613,111,-7.2169890251219835,79.2614104185065,0.40062602688920046
