區間,strategy,tp_r,tol_fvg,總損益,勝率,單數
2023-07-01~2024-01-01,smc,1.05,0.002,-136.68999999999983,0.0,3
2023-07-01~2024-01-01,smc,1.05,0.003,-136.68999999999983,0.0,3
2023-07-01~2024-01-01,smc,1.05,0.004,-136.68999999999983,0.0,3
2023-07-01~2024-01-01,smc,1.05,0.005,-136.68999999999983,0.0,3
2023-07-01~2024-01-01,smc,1.1,0.002,-136.68999999999983,0.0,3
2023-07-01~2024-01-01,smc,1.1,0.003,-136.68999999999983,0.0,3
2023-07-01~2024-01-01,smc,1.1,0.004,-136.68999999999983,0.0,3
2023-07-01~2024-01-01,smc,1.1,0.005,-136.68999999999983,0.0,3
2023-07-01~2024-01-01,smc,1.15,0.002,-136.68999999999983,0.0,3
2023-07-01~2024-01-01,smc,1.15,0.003,-136.68999999999983,0.0,3
2023-07-01~2024-01-01,smc,1.15,0.004,-136.68999999999983,0.0,3
2023-07-01~2024-01-01,smc,1.15,0.005,-136.68999999999983,0.0,3
2023-07-01~2024-01-01,smc,1.2,0.002,-136.68999999999983,0.0,3
2023-07-01~2024-01-01,smc,1.2,0.003,-136.68999999999983,0.0,3
2023-07-01~2024-01-01,smc,1.2,0.004,-136.68999999999983,0.0,3
2023-07-01~2024-01-01,smc,1.2,0.005,-136.68999999999983,0.0,3
2023-07-01~2024-01-01,smc_loose,1.05,0.002,683.9700000000007,0.3783783783783784,37
2023-07-01~2024-01-01,smc_loose,1.05,0.003,761.0900000000001,0.3684210526315789,38
2023-07-01~2024-01-01,smc_loose,1.05,0.004,493.0899999999999,0.3333333333333333,36
2023-07-01~2024-01-01,smc_loose,1.05,0.005,518.8799999999999,0.325,40
2023-07-01~2024-01-01,smc_loose,1.1,0.002,435.680000000001,0.21052631578947367,19
2023-07-01~2024-01-01,smc_loose,1.1,0.003,457.6200000000008,0.2222222222222222,18
2023-07-01~2024-01-01,smc_loose,1.1,0.004,4.230000000001155,0.12,25
2023-07-01~2024-01-01,smc_loose,1.1,0.005,-119.53999999999905,0.12,25
2023-07-01~2024-01-01,smc_loose,1.15,0.002,708.6500000000005,0.18181818181818182,22
2023-07-01~2024-01-01,smc_loose,1.15,0.003,663.5000000000005,0.18181818181818182,22
2023-07-01~2024-01-01,smc_loose,1.15,0.004,142.9300000000012,0.11538461538461539,26
2023-07-01~2024-01-01,smc_loose,1.15,0.005,278.7700000000011,0.13636363636363635,22
2023-07-01~2024-01-01,smc_loose,1.2,0.002,-350.1999999999998,0.0,8
2023-07-01~2024-01-01,smc_loose,1.2,0.003,-328.26,0.0,7
2023-07-01~2024-01-01,smc_loose,1.2,0.004,-553.9599999999994,0.0,13
2023-07-01~2024-01-01,smc_loose,1.2,0.005,31.170000000000528,0.09090909090909091,11
