區間,strategy,tp_r,tol_fvg,總損益_pct,勝率,單數,sharpe,max_drawdown,profit_factor
2024-07-01~2025-01-01,smc,1.05,0.002,-0.258399,0.1538,13,-12.658360356004215,0.0,0.16096131573240036
2024-07-01~2025-01-01,smc,1.05,0.003,-0.258399,0.1538,13,-12.658360356004215,0.0,0.16096131573240036
2024-07-01~2025-01-01,smc,1.05,0.004,-0.258399,0.1538,13,-12.658360356004215,0.0,0.16096131573240036
2024-07-01~2025-01-01,smc,1.05,0.005,-0.258399,0.1538,13,-12.658360356004215,0.0,0.16096131573240036
2024-07-01~2025-01-01,smc,1.1,0.002,-0.458399,0.1538,13,-10.979999485088795,0.0,0.178452691418328
2024-07-01~2025-01-01,smc,1.1,0.003,-0.458399,0.1538,13,-10.979999485088795,0.0,0.178452691418328
2024-07-01~2025-01-01,smc,1.1,0.004,-0.458399,0.1538,13,-10.979999485088795,0.0,0.178452691418328
2024-07-01~2025-01-01,smc,1.1,0.005,-0.458399,0.1538,13,-10.979999485088795,0.0,0.178452691418328
2024-07-01~2025-01-01,smc,1.15,0.002,-0.807399,0.0833,12,-17.37455679535072,0.0,0.000707119458020495
2024-07-01~2025-01-01,smc,1.15,0.003,-0.807399,0.0833,12,-17.37455679535072,0.0,0.000707119458020495
2024-07-01~2025-01-01,smc,1.15,0.004,-0.807399,0.0833,12,-17.37455679535072,0.0,0.000707119458020495
2024-07-01~2025-01-01,smc,1.15,0.005,-0.807399,0.0833,12,-17.37455679535072,0.0,0.000707119458020495
2024-07-01~2025-01-01,smc,1.2,0.002,-1.057399,0.0833,12,-16.883799588623713,0.0,0.0005400260750265379
2024-07-01~2025-01-01,smc,1.2,0.003,-1.057399,0.0833,12,-16.883799588623713,0.0,0.0005400260750265379
2024-07-01~2025-01-01,smc,1.2,0.004,-1.057399,0.0833,12,-16.883799588623713,0.0,0.0005400260750265379
2024-07-01~2025-01-01,smc,1.2,0.005,-1.057399,0.0833,12,-16.883799588623713,0.0,0.0005400260750265379
2024-07-01~2025-01-01,smc_loose,1.05,0.002,-6.800677,0.1596,332,-13.039624318137589,0.0,0.1742225142485257
2024-07-01~2025-01-01,smc_loose,1.05,0.003,-7.641144,0.1538,364,-13.577827291192708,0.0,0.1589285614992147
2024-07-01~2025-01-01,smc_loose,1.05,0.004,-8.147886,0.1482,371,-14.282344903186301,0.0,0.14550634675201582
2024-07-01~2025-01-01,smc_loose,1.05,0.005,-8.15878,0.1413,361,-14.807163689017043,0.0,0.13659509009900137
2024-07-01~2025-01-01,smc_loose,1.1,0.002,-8.357562,0.1381,210,-13.073443769265598,87.17691972763897,0.14174193734414578
2024-07-01~2025-01-01,smc_loose,1.1,0.003,-8.769514,0.1395,215,-13.408056792446068,91.40735573831091,0.13596419537723875
2024-07-01~2025-01-01,smc_loose,1.1,0.004,-10.071895,0.1555,238,-14.01403314233035,0.0,0.12483778336745008
2024-07-01~2025-01-01,smc_loose,1.1,0.005,-10.464957,0.1416,233,-14.934289477577108,0.0,0.11243975664296785
2024-07-01~2025-01-01,smc_loose,1.15,0.002,-6.087493,0.1364,110,-12.093810394675467,0.0,0.15555646475602325
2024-07-01~2025-01-01,smc_loose,1.15,0.003,-8.621002,0.1407,135,-14.081132749337991,0.0,0.11623792266861523
2024-07-01~2025-01-01,smc_loose,1.15,0.004,-10.80315,0.1481,162,-15.328048639943056,0.0,0.08476386514872651
2024-07-01~2025-01-01,smc_loose,1.15,0.005,-10.07888,0.1364,154,-15.025314590066339,0.0,0.08932146725588702
2024-07-01~2025-01-01,smc_loose,1.2,0.002,-10.031366,0.1206,141,-12.422594857780838,0.0,0.1135889418261168
2024-07-01~2025-01-01,smc_loose,1.2,0.003,-10.803292,0.1391,151,-12.556541901814516,0.0,0.10725886500755225
2024-07-01~2025-01-01,smc_loose,1.2,0.004,-11.984512,0.1486,148,-13.885762271954997,0.0,0.09758559041711293
2024-07-01~2025-01-01,smc_loose,1.2,0.005,-14.036507,0.1313,160,-15.379588648115087,0.0,0.07217136850850918
