區間,strategy,tp_r,tol_fvg,總損益_pct,勝率,單數,sharpe,max_drawdown,profit_factor
2024-01-01~2024-07-01,smc,1.05,0.002,-0.110293,0.4,5,-14.016040073815816,13.136608431862651,0.13971253072289277
2024-01-01~2024-07-01,smc,1.05,0.003,-0.110293,0.4,5,-14.016040073815816,13.136608431862651,0.13971253072289277
2024-01-01~2024-07-01,smc,1.05,0.004,-0.110293,0.4,5,-14.016040073815816,13.136608431862651,0.13971253072289277
2024-01-01~2024-07-01,smc,1.05,0.005,-0.110293,0.4,5,-14.016040073815816,13.136608431862651,0.13971253072289277
2024-01-01~2024-07-01,smc,1.1,0.002,-0.210293,0.4,5,-14.429148542558675,24.140604870871012,0.07849001986235889
2024-01-01~2024-07-01,smc,1.1,0.003,-0.210293,0.4,5,-14.429148542558675,24.140604870871012,0.07849001986235889
2024-01-01~2024-07-01,smc,1.1,0.004,-0.210293,0.4,5,-14.429148542558675,24.140604870871012,0.07849001986235889
2024-01-01~2024-07-01,smc,1.1,0.005,-0.210293,0.4,5,-14.429148542558675,24.140604870871012,0.07849001986235889
2024-01-01~2024-07-01,smc,1.15,0.002,-0.310293,0.4,5,-14.379738143560381,35.144601309879306,0.05457504686611513
2024-01-01~2024-07-01,smc,1.15,0.003,-0.310293,0.4,5,-14.379738143560381,35.144601309879306,0.05457504686611513
2024-01-01~2024-07-01,smc,1.15,0.004,-0.310293,0.4,5,-14.379738143560381,35.144601309879306,0.05457504686611513
2024-01-01~2024-07-01,smc,1.15,0.005,-0.310293,0.4,5,-14.379738143560381,35.144601309879306,0.05457504686611513
2024-01-01~2024-07-01,smc,1.2,0.002,-0.410293,0.4,5,-14.314136082931041,46.148597748887674,0.041829957631315716
2024-01-01~2024-07-01,smc,1.2,0.003,-0.410293,0.4,5,-14.314136082931041,46.148597748887674,0.041829957631315716
2024-01-01~2024-07-01,smc,1.2,0.004,-0.410293,0.4,5,-14.314136082931041,46.148597748887674,0.041829957631315716
2024-01-01~2024-07-01,smc,1.2,0.005,-0.410293,0.4,5,-14.314136082931041,46.148597748887674,0.041829957631315716
2024-01-01~2024-07-01,smc_loose,1.05,0.002,-1.908258,0.2143,126,-9.352847786726239,0.0,0.2955481388796754
2024-01-01~2024-07-01,smc_loose,1.05,0.003,-2.208661,0.2,130,-10.788571586995857,0.0,0.24412199641428067
2024-01-01~2024-07-01,smc_loose,1.05,0.004,-2.534889,0.2,140,-11.936715021353958,0.0,0.2016717451636505
2024-01-01~2024-07-01,smc_loose,1.05,0.005,-2.765115,0.2083,144,-12.704996595719683,0.0,0.18085664112418015
2024-01-01~2024-07-01,smc_loose,1.1,0.002,-3.391929,0.1574,108,-11.390307098307423,0.0,0.16897146686569897
2024-01-01~2024-07-01,smc_loose,1.1,0.003,-3.675326,0.1574,108,-12.101964307937823,0.0,0.15800105177346277
2024-01-01~2024-07-01,smc_loose,1.1,0.004,-3.927557,0.1652,115,-12.552643294113619,0.0,0.1337892379341954
2024-01-01~2024-07-01,smc_loose,1.1,0.005,-4.515305,0.1803,122,-13.278334836764902,0.0,0.12171966797930535
2024-01-01~2024-07-01,smc_loose,1.15,0.002,-3.912331,0.1591,88,-10.623400096994551,0.0,0.17558373302710387
2024-01-01~2024-07-01,smc_loose,1.15,0.003,-4.205919,0.1591,88,-11.235467509480676,0.0,0.1653540020349233
2024-01-01~2024-07-01,smc_loose,1.15,0.004,-4.833126,0.15,100,-11.989456025274029,0.0,0.12522995755648897
2024-01-01~2024-07-01,smc_loose,1.15,0.005,-5.77822,0.1589,107,-13.025702741691346,0.0,0.10868612825517313
2024-01-01~2024-07-01,smc_loose,1.2,0.002,-5.902156,0.125,96,-11.986431994160661,0.0,0.09816158528267116
2024-01-01~2024-07-01,smc_loose,1.2,0.003,-6.485553,0.125,96,-12.852824101200142,0.0,0.09012745805430598
2024-01-01~2024-07-01,smc_loose,1.2,0.004,-7.044427,0.1275,102,-13.075085227463006,0.0,0.08349780353672917
2024-01-01~2024-07-01,smc_loose,1.2,0.005,-8.333069,0.1455,110,-14.009945465452647,0.0,0.07348534437793335
