應用區間,策略,tp_r,tol_fvg,總損益,勝率,單數,sharpe,max_drawdown,profit_factor
2023-07-01~2024-01-01,smc,1.2,0.002,-7817.999999999993,0.0,26,-29.501919873457982,0.0,0.0
2023-07-01~2024-01-01,smc_loose,1.1,0.003,2740.3699999999917,0.10909090909090909,55,0.6058530546317826,2.0789641555879963,1.1437148201893104
2024-01-01~2024-07-01,smc,1.05,0.002,2987.310000000034,0.14814814814814814,27,1.0691727175201822,5.449388989338447,1.233235088595936
2024-01-01~2024-07-01,smc_loose,1.2,0.005,16752.39999999995,0.09302325581395349,43,1.662672615455124,1.937226943799459,1.5603755818290357
2024-07-01~2025-01-01,smc,1.1,0.002,-6851.250000000007,0.07407407407407407,27,-2.187048373350279,2.368132131460503,0.6418592737603923
2024-07-01~2025-01-01,smc_loose,1.1,0.002,42584.65999999998,0.13934426229508196,122,1.9864035067585917,0.4511214647184976,1.549860554973001
2025-01-01~2025-07-01,smc,1.05,0.002,4602.970000000059,0.16666666666666666,24,1.1605806701633739,1.565355993586376,1.2436257549510166
2025-01-01~2025-07-01,smc_loose,1.15,0.003,2337.8400000000547,0.07142857142857142,56,0.16400554884971016,6.830647151742487,1.0425650996552147
2025-07-01~2026-01-01,smc,1.1,0.002,-471.72000000000116,0.0,1,,0.0,0.0
2025-07-01~2026-01-01,smc_loose,1.1,0.003,-3500.1300000000047,0.0,4,,0.0,0.0
