應用區間,策略,tp_r,tol_fvg,總損益_pct,勝率,單數,sharpe,max_drawdown,profit_factor
2023-07-01~2024-01-01,smc_loose,1.2,0.002,-1.278027,0.1818,33,-7.358949895784854,0.0,0.24887478342592356
2024-01-01~2024-07-01,smc_loose,1.2,0.002,-5.244746,0.1316,76,-12.573972235992498,0.0,0.10817004023294484
2024-07-01~2025-01-01,smc_loose,1.05,0.004,-3.063544,0.1987,156,-12.924558863878106,0.0,0.17320953795591243
2025-01-01~2025-07-01,smc_loose,1.2,0.002,-1.734101,0.225,40,-9.436484228257992,0.0,0.12753867615328773
