應用區間,策略,tp_r,tol_fvg,總損益,勝率,單數
2023-07-01~2024-01-01,smc,1.05,0.002,-30.470000000000482,0.14285714285714285,7
2023-07-01~2024-01-01,smc_loose,1.15,0.005,38.339999999999236,0.08888888888888889,45
2024-01-01~2024-07-01,smc,1.1,0.002,776.3600000000001,0.23076923076923078,13
2024-01-01~2024-07-01,smc_loose,1.15,0.005,-1240.7299999999996,0.06060606060606061,66
2024-07-01~2025-01-01,smc,1.2,0.002,-291.96000000000004,0.0,10
2024-07-01~2025-01-01,smc_loose,1.05,0.004,977.1199999999985,0.23841059602649006,151
2025-01-01~2025-07-01,smc,1.05,0.002,255.16000000000008,0.21052631578947367,19
2025-01-01~2025-07-01,smc_loose,1.2,0.002,-535.4999999999993,0.06315789473684211,95
