區間,strategy,tp_r,tol_fvg,總損益_pct,勝率,單數,sharpe,max_drawdown,profit_factor
2023-07-01~2024-01-01,smc_loose,1.1,0.002,-8.497695,0.0761,184,-15.884665895316807,0.0,0.09011630484718074
2023-07-01~2024-01-01,smc_loose,1.1,0.003,-8.842477,0.0765,196,-15.67984442448593,0.0,0.08754619520116691
2023-07-01~2024-01-01,smc_loose,1.1,0.004,-8.57152,0.08,200,-15.032562746960592,0.0,0.09011610674237779
2023-07-01~2024-01-01,smc_loose,1.1,0.005,-7.615408,0.0789,190,-14.087959528858509,0.0,0.10200966349218002
2023-07-01~2024-01-01,smc_loose,1.15,0.002,-5.771697,0.0753,93,-14.886100990907739,0.0,0.07500461843818922
2023-07-01~2024-01-01,smc_loose,1.15,0.003,-7.485203,0.0598,117,-15.578243366521518,0.0,0.05884500201094335
2023-07-01~2024-01-01,smc_loose,1.15,0.004,-7.81266,0.0565,124,-15.451065745784975,0.0,0.05651798547242274
2023-07-01~2024-01-01,smc_loose,1.15,0.005,-7.628493,0.0625,128,-14.726751667882926,0.0,0.06052668056801571
2023-07-01~2024-01-01,smc_loose,1.2,0.002,-10.586608,0.0588,119,-16.027485046063276,0.0,0.05515643717746399
2023-07-01~2024-01-01,smc_loose,1.2,0.003,-10.020923,0.0569,123,-14.898805651639405,0.0,0.05808917232339966
2023-07-01~2024-01-01,smc_loose,1.2,0.004,-10.642231,0.0538,130,-15.023473551436139,0.0,0.05488397636236092
2023-07-01~2024-01-01,smc_loose,1.2,0.005,-10.208077,0.0602,133,-14.22404309609283,0.0,0.05912453713056149
2024-01-01~2024-07-01,smc,1.05,0.002,-0.323651,0.2188,32,-6.589975640967272,0.0,0.3809229736979533
2024-01-01~2024-07-01,smc,1.05,0.003,-0.323651,0.2188,32,-6.589975640967272,0.0,0.3809229736979533
2024-01-01~2024-07-01,smc,1.05,0.004,-0.323651,0.2188,32,-6.589975640967272,0.0,0.3809229736979533
2024-01-01~2024-07-01,smc,1.05,0.005,-0.323651,0.2188,32,-6.589975640967272,0.0,0.3809229736979533
2024-01-01~2024-07-01,smc,1.1,0.002,-0.354697,0.2414,29,-3.949433035357318,0.0,0.5294808540918692
2024-01-01~2024-07-01,smc,1.1,0.003,-0.354697,0.2414,29,-3.949433035357318,0.0,0.5294808540918692
2024-01-01~2024-07-01,smc,1.1,0.004,-0.354697,0.2414,29,-3.949433035357318,0.0,0.5294808540918692
2024-01-01~2024-07-01,smc,1.1,0.005,-0.354697,0.2414,29,-3.949433035357318,0.0,0.5294808540918692
2024-01-01~2024-07-01,smc,1.15,0.002,-0.91216,0.12,25,-9.551917504961908,0.0,0.14187336629496608
2024-01-01~2024-07-01,smc,1.15,0.003,-0.91216,0.12,25,-9.551917504961908,0.0,0.14187336629496608
2024-01-01~2024-07-01,smc,1.15,0.004,-0.91216,0.12,25,-9.551917504961908,0.0,0.14187336629496608
2024-01-01~2024-07-01,smc,1.15,0.005,-0.91216,0.12,25,-9.551917504961908,0.0,0.14187336629496608
2024-01-01~2024-07-01,smc,1.2,0.002,-1.389912,0.08,25,-12.693510940608627,0.0,0.0012980939671906853
2024-01-01~2024-07-01,smc,1.2,0.003,-1.389912,0.08,25,-12.693510940608627,0.0,0.0012980939671906853
2024-01-01~2024-07-01,smc,1.2,0.004,-1.389912,0.08,25,-12.693510940608627,0.0,0.0012980939671906853
2024-01-01~2024-07-01,smc,1.2,0.005,-1.389912,0.08,25,-12.693510940608627,0.0,0.0012980939671906853
2024-01-01~2024-07-01,smc_loose,1.05,0.002,-12.604856,0.1248,617,-13.307251574386077,0.0,0.16098354553982308
2024-01-01~2024-07-01,smc_loose,1.05,0.003,-12.365022,0.1312,625,-12.997562027159452,0.0,0.16486734669775183
2024-01-01~2024-07-01,smc_loose,1.05,0.004,-11.145088,0.1261,587,-12.497539364978662,0.0,0.17588144616176987
2024-01-01~2024-07-01,smc_loose,1.05,0.005,-12.336132,0.1244,627,-13.1487878955052,0.0,0.1574607557311611
2024-01-01~2024-07-01,smc_loose,1.1,0.002,-9.822844,0.1287,303,-11.476013754949602,0.0,0.14880556800965075
2024-01-01~2024-07-01,smc_loose,1.1,0.003,-9.105467,0.1347,297,-10.949944724011228,0.0,0.15959194472836033
2024-01-01~2024-07-01,smc_loose,1.1,0.004,-8.649768,0.1272,283,-10.888980437174935,0.0,0.16303505780221078
2024-01-01~2024-07-01,smc_loose,1.1,0.005,-9.339563,0.1233,292,-11.46355770844265,0.0,0.1456675864657248
2024-01-01~2024-07-01,smc_loose,1.15,0.002,-10.39822,0.1185,211,-11.965251992358782,0.0,0.11217624743187857
2024-01-01~2024-07-01,smc_loose,1.15,0.003,-9.528251,0.1378,196,-11.676104261105058,0.0,0.12264514308283889
2024-01-01~2024-07-01,smc_loose,1.15,0.004,-8.580758,0.1154,182,-11.381661903893328,0.0,0.12920676383983126
2024-01-01~2024-07-01,smc_loose,1.15,0.005,-11.081356,0.1019,206,-12.865780594108868,0.0,0.10335099776376111
2024-01-01~2024-07-01,smc_loose,1.2,0.002,-4.197504,0.14,100,-8.122304724552222,0.0,0.20121689826002076
2024-01-01~2024-07-01,smc_loose,1.2,0.003,-5.164916,0.175,120,-8.185880519025499,0.0,0.20208187712193593
2024-01-01~2024-07-01,smc_loose,1.2,0.004,-5.007857,0.1545,110,-8.449911766771006,0.0,0.20151971791269926
2024-01-01~2024-07-01,smc_loose,1.2,0.005,-7.287946,0.1374,131,-10.15981395615197,0.0,0.14883012238224502
2024-07-01~2025-01-01,smc,1.05,0.002,-0.895701,0.1754,57,-10.823063769586708,12.824411807698407,0.19712896844760952
2024-07-01~2025-01-01,smc,1.05,0.003,-0.895701,0.1754,57,-10.823063769586708,12.824411807698407,0.19712896844760952
2024-07-01~2025-01-01,smc,1.05,0.004,-0.895701,0.1754,57,-10.823063769586708,12.824411807698407,0.19712896844760952
2024-07-01~2025-01-01,smc,1.05,0.005,-0.895701,0.1754,57,-10.823063769586708,12.824411807698407,0.19712896844760952
2024-07-01~2025-01-01,smc,1.1,0.002,-1.538226,0.1569,51,-11.318367364916714,17.57161792992041,0.12608116744336803
2024-07-01~2025-01-01,smc,1.1,0.003,-1.538226,0.1569,51,-11.318367364916714,17.57161792992041,0.12608116744336803
2024-07-01~2025-01-01,smc,1.1,0.004,-1.538226,0.1569,51,-11.318367364916714,17.57161792992041,0.12608116744336803
2024-07-01~2025-01-01,smc,1.1,0.005,-1.538226,0.1569,51,-11.318367364916714,17.57161792992041,0.12608116744336803
2024-07-01~2025-01-01,smc,1.15,0.002,-2.18282,0.1569,51,-10.62155479457444,16.28340039727719,0.12852482462545578
2024-07-01~2025-01-01,smc,1.15,0.003,-2.18282,0.1569,51,-10.62155479457444,16.28340039727719,0.12852482462545578
2024-07-01~2025-01-01,smc,1.15,0.004,-2.18282,0.1569,51,-10.62155479457444,16.28340039727719,0.12852482462545578
2024-07-01~2025-01-01,smc,1.15,0.005,-2.18282,0.1569,51,-10.62155479457444,16.28340039727719,0.12852482462545578
2024-07-01~2025-01-01,smc,1.2,0.002,-2.991258,0.1489,47,-12.193197128909702,563.2421690546485,0.06935561055002998
2024-07-01~2025-01-01,smc,1.2,0.003,-2.991258,0.1489,47,-12.193197128909702,563.2421690546485,0.06935561055002998
