區間,strategy,tp_r,tol_fvg,總損益,勝率,單數,sharpe,max_drawdown,profit_factor
2024-01-01~2024-07-01,smc,1.05,0.002,322.87999999999965,0.21428571428571427,28,2.0913272352995653,1.2863953686361342,1.4436871324135647
2024-01-01~2024-07-01,smc,1.05,0.003,322.87999999999965,0.21428571428571427,28,2.0913272352995653,1.2863953686361342,1.4436871324135647
2024-01-01~2024-07-01,smc,1.05,0.004,322.87999999999965,0.21428571428571427,28,2.0913272352995653,1.2863953686361342,1.4436871324135647
2024-01-01~2024-07-01,smc,1.05,0.005,322.87999999999965,0.21428571428571427,28,2.0913272352995653,1.2863953686361342,1.4436871324135647
2024-01-01~2024-07-01,smc,1.1,0.002,714.4200000000001,0.18181818181818182,22,3.5748628151855133,0.5057910350713228,2.1588133201407924
2024-01-01~2024-07-01,smc,1.1,0.003,714.4200000000001,0.18181818181818182,22,3.5748628151855133,0.5057910350713228,2.1588133201407924
2024-01-01~2024-07-01,smc,1.1,0.004,714.4200000000001,0.18181818181818182,22,3.5748628151855133,0.5057910350713228,2.1588133201407924
2024-01-01~2024-07-01,smc,1.1,0.005,714.4200000000001,0.18181818181818182,22,3.5748628151855133,0.5057910350713228,2.1588133201407924
2024-01-01~2024-07-01,smc,1.15,0.002,965.2799999999997,0.15789473684210525,19,4.013040494219234,0.2865104590139702,2.751360766383626
2024-01-01~2024-07-01,smc,1.15,0.003,965.2799999999997,0.15789473684210525,19,4.013040494219234,0.2865104590139702,2.751360766383626
2024-01-01~2024-07-01,smc,1.15,0.004,965.2799999999997,0.15789473684210525,19,4.013040494219234,0.2865104590139702,2.751360766383626
2024-01-01~2024-07-01,smc,1.15,0.005,965.2799999999997,0.15789473684210525,19,4.013040494219234,0.2865104590139702,2.751360766383626
2024-01-01~2024-07-01,smc,1.2,0.002,756.5099999999989,0.11764705882352941,17,2.9401661877397536,0.39739525250916097,2.2343928466533924
2024-01-01~2024-07-01,smc,1.2,0.003,756.5099999999989,0.11764705882352941,17,2.9401661877397536,0.39739525250916097,2.2343928466533924
2024-01-01~2024-07-01,smc,1.2,0.004,756.5099999999989,0.11764705882352941,17,2.9401661877397536,0.39739525250916097,2.2343928466533924
2024-01-01~2024-07-01,smc,1.2,0.005,756.5099999999989,0.11764705882352941,17,2.9401661877397536,0.39739525250916097,2.2343928466533924
2024-01-01~2024-07-01,smc_loose,1.05,0.002,-401.00999999999885,0.1494661921708185,281,-0.2903094803646304,1.6890258474309805,0.9482994688257448
2024-01-01~2024-07-01,smc_loose,1.05,0.003,592.6900000000014,0.16206896551724137,290,0.41364303320417706,1.4785425101214622,1.0792477553667303
2024-01-01~2024-07-01,smc_loose,1.05,0.004,1568.9400000000014,0.17777777777777778,270,1.1633916668268192,0.5326895500985838,1.2399985315015867
2024-01-01~2024-07-01,smc_loose,1.05,0.005,1504.04,0.17582417582417584,273,1.0995444010702893,0.851836770309181,1.2262265393975678
2024-01-01~2024-07-01,smc_loose,1.1,0.002,1348.7000000000003,0.11235955056179775,178,1.019186668504359,3.151269221381498,1.2575014701277671
2024-01-01~2024-07-01,smc_loose,1.1,0.003,650.6000000000022,0.10559006211180125,161,0.5583660098584448,4.480850680364073,1.1342708490268154
2024-01-01~2024-07-01,smc_loose,1.1,0.004,580.3999999999992,0.09142857142857143,175,0.4812875176593871,2.4538914823601554,1.1214177679129904
2024-01-01~2024-07-01,smc_loose,1.1,0.005,769.3799999999969,0.10062893081761007,159,0.6950801939865051,1.2204869964304006,1.1754724468711077
2024-01-01~2024-07-01,smc_loose,1.15,0.002,-1086.5400000000013,0.05,100,-1.5254289129440306,4.7358977668775175,0.6778101981994803
2024-01-01~2024-07-01,smc_loose,1.15,0.003,-1070.1299999999983,0.049019607843137254,102,-1.5023243406008446,5.310700916483815,0.6783614657721998
2024-01-01~2024-07-01,smc_loose,1.15,0.004,64.99999999999909,0.07608695652173914,92,0.08813335877654656,2.2868169188021135,1.0224052945434488
2024-01-01~2024-07-01,smc_loose,1.15,0.005,650.6000000000008,0.0945945945945946,74,0.9910313343256842,2.0724678231673366,1.2758813701627474
2024-01-01~2024-07-01,smc_loose,1.2,0.002,-2188.720000000001,0.02830188679245283,106,-3.266032443555729,5.1763886503711385,0.41751562183970437
2024-01-01~2024-07-01,smc_loose,1.2,0.003,-2241.760000000001,0.027522935779816515,109,-3.300465318210651,6.233110789485983,0.4117041935653177
2024-01-01~2024-07-01,smc_loose,1.2,0.004,-2002.6000000000022,0.021052631578947368,95,-3.894661058551102,9.898862424457903,0.3418129231578254
2024-01-01~2024-07-01,smc_loose,1.2,0.005,-1103.8900000000003,0.029411764705882353,68,-2.6404319763420343,4.1088487101498306,0.4850995153669265
