區間,strategy,tp_r,tol_fvg,總損益_pct,勝率,單數,sharpe,max_drawdown,profit_factor
2023-01-01~2023-07-01,smc,1.05,0.002,-1.667434,0.1343,67,-13.575763557457517,0.0,0.12147198972838096
2023-01-01~2023-07-01,smc,1.05,0.003,-1.667434,0.1343,67,-13.575763557457517,0.0,0.12147198972838096
2023-01-01~2023-07-01,smc,1.05,0.004,-1.667434,0.1343,67,-13.575763557457517,0.0,0.12147198972838096
2023-01-01~2023-07-01,smc,1.05,0.005,-1.667434,0.1343,67,-13.575763557457517,0.0,0.12147198972838096
2023-01-01~2023-07-01,smc,1.1,0.002,-3.199198,0.125,64,-13.89377301529912,0.0,0.09390415021597635
2023-01-01~2023-07-01,smc,1.1,0.003,-3.199198,0.125,64,-13.89377301529912,0.0,0.09390415021597635
2023-01-01~2023-07-01,smc,1.1,0.004,-3.199198,0.125,64,-13.89377301529912,0.0,0.09390415021597635
2023-01-01~2023-07-01,smc,1.1,0.005,-3.199198,0.125,64,-13.89377301529912,0.0,0.09390415021597635
2023-01-01~2023-07-01,smc,1.15,0.002,-4.699198,0.125,64,-13.506253240683941,0.0,0.09295026376027148
2023-01-01~2023-07-01,smc,1.15,0.003,-4.699198,0.125,64,-13.506253240683941,0.0,0.09295026376027148
2023-01-01~2023-07-01,smc,1.15,0.004,-4.699198,0.125,64,-13.506253240683941,0.0,0.09295026376027148
2023-01-01~2023-07-01,smc,1.15,0.005,-4.699198,0.125,64,-13.506253240683941,0.0,0.09295026376027148
2023-01-01~2023-07-01,smc,1.2,0.002,-5.954464,0.0926,54,-16.647200683491608,0.0,0.03674652085848132
2023-01-01~2023-07-01,smc,1.2,0.003,-5.954464,0.0926,54,-16.647200683491608,0.0,0.03674652085848132
2023-01-01~2023-07-01,smc,1.2,0.004,-5.954464,0.0926,54,-16.647200683491608,0.0,0.03674652085848132
2023-01-01~2023-07-01,smc,1.2,0.005,-5.954464,0.0926,54,-16.647200683491608,0.0,0.03674652085848132
2023-01-01~2023-07-01,smc_loose,1.05,0.002,-11.631806,0.0984,508,-12.825264890762028,0.0,0.1186982039372777
2023-01-01~2023-07-01,smc_loose,1.05,0.003,-10.742773,0.1058,482,-12.199671262692275,0.0,0.1374082639152148
2023-01-01~2023-07-01,smc_loose,1.05,0.004,-11.197061,0.0978,491,-12.530136769255854,0.0,0.13126489486407858
2023-01-01~2023-07-01,smc_loose,1.05,0.005,-10.571611,0.1021,480,-12.09565744911546,0.0,0.13840546490241204
2023-01-01~2023-07-01,smc_loose,1.1,0.002,-11.31269,0.0667,240,-13.509117073633517,0.0,0.08285820756291723
2023-01-01~2023-07-01,smc_loose,1.1,0.003,-9.792057,0.0773,220,-12.699897855999904,0.0,0.09495685803115801
2023-01-01~2023-07-01,smc_loose,1.1,0.004,-9.292798,0.0758,211,-12.531923023204948,0.0,0.09894592162000504
2023-01-01~2023-07-01,smc_loose,1.1,0.005,-8.386543,0.08,200,-11.930249383979096,0.0,0.1084782120228353
2023-01-01~2023-07-01,smc_loose,1.15,0.002,-15.088093,0.0476,210,-13.94502280490643,0.0,0.0658195370456177
2023-01-01~2023-07-01,smc_loose,1.15,0.003,-13.265481,0.0615,195,-13.160302363229041,0.0,0.07467756797261195
2023-01-01~2023-07-01,smc_loose,1.15,0.004,-13.13819,0.0558,197,-12.95081568440265,0.0,0.07489567439983018
2023-01-01~2023-07-01,smc_loose,1.15,0.005,-11.771938,0.0595,185,-12.345707298311122,0.0,0.08286775323710564
2023-01-01~2023-07-01,smc_loose,1.2,0.002,-14.319495,0.051,157,-13.341473120122627,0.0,0.06520765322282877
2023-01-01~2023-07-01,smc_loose,1.2,0.003,-13.073997,0.0552,145,-13.092962660716243,0.0,0.07087451619147243
2023-01-01~2023-07-01,smc_loose,1.2,0.004,-12.677534,0.0625,144,-12.806357823043319,0.0,0.07310892352468422
2023-01-01~2023-07-01,smc_loose,1.2,0.005,-10.86968,0.0672,134,-11.836901181592276,0.0,0.08424409263372708
