區間,strategy,tp_r,tol_fvg,總損益_pct,勝率,單數,sharpe,max_drawdown,profit_factor
2023-01-01~2023-07-01,smc,1.05,0.002,-0.140311,0.3333,15,-5.343070951510045,0.0,0.48569429946261383
2023-01-01~2023-07-01,smc,1.05,0.003,-0.140311,0.3333,15,-5.343070951510045,0.0,0.48569429946261383
2023-01-01~2023-07-01,smc,1.05,0.004,-0.140311,0.3333,15,-5.343070951510045,0.0,0.48569429946261383
2023-01-01~2023-07-01,smc,1.05,0.005,-0.140311,0.3333,15,-5.343070951510045,0.0,0.48569429946261383
2023-01-01~2023-07-01,smc,1.1,0.002,-0.251395,0.3,10,-10.917582272868012,0.0,0.12069122153772928
2023-01-01~2023-07-01,smc,1.1,0.003,-0.251395,0.3,10,-10.917582272868012,0.0,0.12069122153772928
2023-01-01~2023-07-01,smc,1.1,0.004,-0.251395,0.3,10,-10.917582272868012,0.0,0.12069122153772928
2023-01-01~2023-07-01,smc,1.1,0.005,-0.251395,0.3,10,-10.917582272868012,0.0,0.12069122153772928
2023-01-01~2023-07-01,smc,1.15,0.002,-0.351395,0.3,10,-10.528881731649786,0.0,0.08941604906396365
2023-01-01~2023-07-01,smc,1.15,0.003,-0.351395,0.3,10,-10.528881731649786,0.0,0.08941604906396365
2023-01-01~2023-07-01,smc,1.15,0.004,-0.351395,0.3,10,-10.528881731649786,0.0,0.08941604906396365
2023-01-01~2023-07-01,smc,1.15,0.005,-0.351395,0.3,10,-10.528881731649786,0.0,0.08941604906396365
2023-01-01~2023-07-01,smc,1.2,0.002,-0.451395,0.3,10,-10.24574003471137,0.0,0.07101393868562147
2023-01-01~2023-07-01,smc,1.2,0.003,-0.451395,0.3,10,-10.24574003471137,0.0,0.07101393868562147
2023-01-01~2023-07-01,smc,1.2,0.004,-0.451395,0.3,10,-10.24574003471137,0.0,0.07101393868562147
2023-01-01~2023-07-01,smc,1.2,0.005,-0.451395,0.3,10,-10.24574003471137,0.0,0.07101393868562147
2023-01-01~2023-07-01,smc_loose,1.05,0.002,-8.645209,0.1305,406,-14.183627560077127,0.0,0.14217549141786048
2023-01-01~2023-07-01,smc_loose,1.05,0.003,-10.426504,0.119,462,-15.212906351581116,0.0,0.12311208749363019
2023-01-01~2023-07-01,smc_loose,1.05,0.004,-10.952995,0.1113,476,-15.595310251957804,0.0,0.11811010443502189
2023-01-01~2023-07-01,smc_loose,1.05,0.005,-9.79198,0.1109,442,-15.049646385761479,0.0,0.12387888370967673
2023-01-01~2023-07-01,smc_loose,1.1,0.002,-9.412971,0.1064,235,-13.906785792889774,0.0,0.11249351450979292
2023-01-01~2023-07-01,smc_loose,1.1,0.003,-11.066125,0.0934,257,-15.175411487736199,0.0,0.09011114186182675
2023-01-01~2023-07-01,smc_loose,1.1,0.004,-10.07366,0.0972,247,-14.240873591913319,0.0,0.10606984553225907
2023-01-01~2023-07-01,smc_loose,1.1,0.005,-10.935695,0.0878,262,-14.656235113015908,0.0,0.09768586428044747
2023-01-01~2023-07-01,smc_loose,1.15,0.002,-15.147463,0.087,230,-15.665513292049578,0.0,0.0699888394618765
2023-01-01~2023-07-01,smc_loose,1.15,0.003,-17.422596,0.084,250,-16.59903099877079,0.0,0.061593564124250225
2023-01-01~2023-07-01,smc_loose,1.15,0.004,-16.053971,0.0913,230,-16.661050505929666,0.0,0.06040917096547946
2023-01-01~2023-07-01,smc_loose,1.15,0.005,-13.170818,0.1014,207,-15.206528501879182,0.0,0.07260059676761126
2023-01-01~2023-07-01,smc_loose,1.2,0.002,-8.962598,0.0818,110,-14.71765729252656,0.0,0.06831457389896661
2023-01-01~2023-07-01,smc_loose,1.2,0.003,-8.828044,0.082,122,-13.5010720107101,0.0,0.06658120107598074
2023-01-01~2023-07-01,smc_loose,1.2,0.004,-9.234229,0.069,116,-14.554849854365822,0.0,0.06611043472067243
2023-01-01~2023-07-01,smc_loose,1.2,0.005,-8.822364,0.0721,111,-14.485581127035429,0.0,0.06898384199371164
