區間,strategy,tp_r,tol_fvg,總損益,勝率,單數
2023-01-01~2023-07-01,smc,1.05,0.002,7382.569999999989,0.35,20
2023-01-01~2023-07-01,smc,1.05,0.003,7382.569999999989,0.35,20
2023-01-01~2023-07-01,smc,1.05,0.004,7382.569999999989,0.35,20
2023-01-01~2023-07-01,smc,1.05,0.005,7382.569999999989,0.35,20
2023-01-01~2023-07-01,smc,1.1,0.002,5140.169999999998,0.1875,16
2023-01-01~2023-07-01,smc,1.1,0.003,5140.169999999998,0.1875,16
2023-01-01~2023-07-01,smc,1.1,0.004,5140.169999999998,0.1875,16
2023-01-01~2023-07-01,smc,1.1,0.005,5140.169999999998,0.1875,16
2023-01-01~2023-07-01,smc,1.15,0.002,4712.999999999996,0.14285714285714285,14
2023-01-01~2023-07-01,smc,1.15,0.003,4712.999999999996,0.14285714285714285,14
2023-01-01~2023-07-01,smc,1.15,0.004,4712.999999999996,0.14285714285714285,14
2023-01-01~2023-07-01,smc,1.15,0.005,4712.999999999996,0.14285714285714285,14
2023-01-01~2023-07-01,smc,1.2,0.002,-2699.230000000003,0.0,11
2023-01-01~2023-07-01,smc,1.2,0.003,-2699.230000000003,0.0,11
2023-01-01~2023-07-01,smc,1.2,0.004,-2699.230000000003,0.0,11
2023-01-01~2023-07-01,smc,1.2,0.005,-2699.230000000003,0.0,11
2023-01-01~2023-07-01,smc_loose,1.05,0.002,9883.340000000004,0.3,80
2023-01-01~2023-07-01,smc_loose,1.05,0.003,9883.340000000004,0.3,80
2023-01-01~2023-07-01,smc_loose,1.05,0.004,9883.340000000004,0.3,80
2023-01-01~2023-07-01,smc_loose,1.05,0.005,9883.340000000004,0.3,80
2023-01-01~2023-07-01,smc_loose,1.1,0.002,11275.340000000011,0.2631578947368421,38
2023-01-01~2023-07-01,smc_loose,1.1,0.003,11275.340000000011,0.2631578947368421,38
2023-01-01~2023-07-01,smc_loose,1.1,0.004,11275.340000000011,0.2631578947368421,38
2023-01-01~2023-07-01,smc_loose,1.1,0.005,11275.340000000011,0.2631578947368421,38
2023-01-01~2023-07-01,smc_loose,1.15,0.002,11789.57,0.25,24
2023-01-01~2023-07-01,smc_loose,1.15,0.003,11789.57,0.25,24
2023-01-01~2023-07-01,smc_loose,1.15,0.004,11789.57,0.25,24
2023-01-01~2023-07-01,smc_loose,1.15,0.005,11789.57,0.25,24
2023-01-01~2023-07-01,smc_loose,1.2,0.002,12956.389999999996,0.23529411764705882,17
2023-01-01~2023-07-01,smc_loose,1.2,0.003,12956.389999999996,0.23529411764705882,17
2023-01-01~2023-07-01,smc_loose,1.2,0.004,12956.389999999996,0.23529411764705882,17
2023-01-01~2023-07-01,smc_loose,1.2,0.005,12956.389999999996,0.23529411764705882,17
