區間,strategy,tp_r,tol_fvg,總損益,勝率,單數,sharpe,max_drawdown,profit_factor
2023-07-01~2024-01-01,smc,1.05,0.002,200.49999999999977,0.6666666666666666,3,,0.0,15.060308555399713
2023-07-01~2024-01-01,smc,1.05,0.003,200.49999999999977,0.6666666666666666,3,,0.0,15.060308555399713
2023-07-01~2024-01-01,smc,1.05,0.004,200.49999999999977,0.6666666666666666,3,,0.0,15.060308555399713
2023-07-01~2024-01-01,smc,1.05,0.005,200.49999999999977,0.6666666666666666,3,,0.0,15.060308555399713
2023-07-01~2024-01-01,smc,1.1,0.002,-68.37000000000012,0.0,3,,0.0,0.0
2023-07-01~2024-01-01,smc,1.1,0.003,-68.37000000000012,0.0,3,,0.0,0.0
2023-07-01~2024-01-01,smc,1.1,0.004,-68.37000000000012,0.0,3,,0.0,0.0
2023-07-01~2024-01-01,smc,1.1,0.005,-68.37000000000012,0.0,3,,0.0,0.0
2023-07-01~2024-01-01,smc,1.15,0.002,-68.37000000000012,0.0,3,,0.0,0.0
2023-07-01~2024-01-01,smc,1.15,0.003,-68.37000000000012,0.0,3,,0.0,0.0
2023-07-01~2024-01-01,smc,1.15,0.004,-68.37000000000012,0.0,3,,0.0,0.0
2023-07-01~2024-01-01,smc,1.15,0.005,-68.37000000000012,0.0,3,,0.0,0.0
2023-07-01~2024-01-01,smc,1.2,0.002,-68.37000000000012,0.0,3,,0.0,0.0
2023-07-01~2024-01-01,smc,1.2,0.003,-68.37000000000012,0.0,3,,0.0,0.0
2023-07-01~2024-01-01,smc,1.2,0.004,-68.37000000000012,0.0,3,,0.0,0.0
2023-07-01~2024-01-01,smc,1.2,0.005,-68.37000000000012,0.0,3,,0.0,0.0
2023-07-01~2024-01-01,smc_loose,1.05,0.002,435.77000000000044,0.16666666666666666,150,0.9648062650706623,0.9244205576083221,1.2010908939885467
2023-07-01~2024-01-01,smc_loose,1.05,0.003,-204.91999999999985,0.14189189189189189,148,-0.49571788650675014,2.5193682637925545,0.9103233994135924
2023-07-01~2024-01-01,smc_loose,1.05,0.004,-749.180000000001,0.10256410256410256,156,-1.9239210248420218,3.4742560850754627,0.6882015340627688
2023-07-01~2024-01-01,smc_loose,1.05,0.005,-729.7000000000003,0.10285714285714286,175,-1.6997212898610108,4.659111423127047,0.7168731497037586
2023-07-01~2024-01-01,smc_loose,1.1,0.002,54.27000000000044,0.08536585365853659,82,0.17783753190262366,3.019267984854838,1.0423435232432943
2023-07-01~2024-01-01,smc_loose,1.1,0.003,-874.180000000001,0.042105263157894736,95,-3.065794924318687,13.30719414331982,0.4833909523387404
2023-07-01~2024-01-01,smc_loose,1.1,0.004,-598.4900000000005,0.049019607843137254,102,-1.8203852760015724,14.320498553305335,0.6402851321380701
2023-07-01~2024-01-01,smc_loose,1.1,0.005,-152.57000000000153,0.06896551724137931,87,-0.4774120417743111,4.427331404406913,0.8907091690544403
2023-07-01~2024-01-01,smc_loose,1.15,0.002,-243.46999999999844,0.04285714285714286,70,-0.8495835939602943,3.2154121863799046,0.7843050399992924
2023-07-01~2024-01-01,smc_loose,1.15,0.003,-387.2600000000016,0.04477611940298507,67,-1.4859702596848707,1.8318690524778247,0.6766825016488967
2023-07-01~2024-01-01,smc_loose,1.15,0.004,141.33999999999992,0.061224489795918366,49,0.6681416176973435,0.6783560521584779,1.211216880613297
2023-07-01~2024-01-01,smc_loose,1.15,0.005,175.51,0.06666666666666667,45,0.8661755791864676,0.6294130067567565,1.2763937007874016
2023-07-01~2024-01-01,smc_loose,1.2,0.002,343.7900000000009,0.06521739130434782,46,1.2819621474544325,0.4679491147703348,1.477366769418758
2023-07-01~2024-01-01,smc_loose,1.2,0.003,-668.7300000000012,0.017857142857142856,56,-3.422850499115997,7.481826112241952,0.36200234694753675
2023-07-01~2024-01-01,smc_loose,1.2,0.004,-140.12999999999965,0.02631578947368421,38,-0.9252998365045491,2.8182172051381884,0.7302962064784346
2023-07-01~2024-01-01,smc_loose,1.2,0.005,-149.6199999999999,0.02631578947368421,38,-0.9872345443028661,2.9413520176463015,0.7171965372547539
