區間,strategy,tp_r,tol_fvg,總損益,勝率,單數,sharpe,max_drawdown,profit_factor
2025-07-01~2026-01-01,smc,1.05,0.002,-471.72000000000116,0.0,1,,0.0,0.0
2025-07-01~2026-01-01,smc,1.05,0.003,-471.72000000000116,0.0,1,,0.0,0.0
2025-07-01~2026-01-01,smc,1.05,0.004,-471.72000000000116,0.0,1,,0.0,0.0
2025-07-01~2026-01-01,smc,1.05,0.005,-471.72000000000116,0.0,1,,0.0,0.0
2025-07-01~2026-01-01,smc,1.1,0.002,-471.72000000000116,0.0,1,,0.0,0.0
2025-07-01~2026-01-01,smc,1.1,0.003,-471.72000000000116,0.0,1,,0.0,0.0
2025-07-01~2026-01-01,smc,1.1,0.004,-471.72000000000116,0.0,1,,0.0,0.0
2025-07-01~2026-01-01,smc,1.1,0.005,-471.72000000000116,0.0,1,,0.0,0.0
2025-07-01~2026-01-01,smc,1.15,0.002,-471.72000000000116,0.0,1,,0.0,0.0
2025-07-01~2026-01-01,smc,1.15,0.003,-471.72000000000116,0.0,1,,0.0,0.0
2025-07-01~2026-01-01,smc,1.15,0.004,-471.72000000000116,0.0,1,,0.0,0.0
2025-07-01~2026-01-01,smc,1.15,0.005,-471.72000000000116,0.0,1,,0.0,0.0
2025-07-01~2026-01-01,smc,1.2,0.002,-471.72000000000116,0.0,1,,0.0,0.0
2025-07-01~2026-01-01,smc,1.2,0.003,-471.72000000000116,0.0,1,,0.0,0.0
2025-07-01~2026-01-01,smc,1.2,0.004,-471.72000000000116,0.0,1,,0.0,0.0
2025-07-01~2026-01-01,smc,1.2,0.005,-471.72000000000116,0.0,1,,0.0,0.0
2025-07-01~2026-01-01,smc_loose,1.05,0.002,3424.2300000000105,0.14285714285714285,7,,0.0,2.007461303315518
2025-07-01~2026-01-01,smc_loose,1.05,0.003,1590.9200000000128,0.16666666666666666,6,,0.2656964695347911,1.390335101502047
2025-07-01~2026-01-01,smc_loose,1.05,0.004,1590.9200000000128,0.16666666666666666,6,,0.2656964695347911,1.390335101502047
2025-07-01~2026-01-01,smc_loose,1.05,0.005,653.140000000014,0.16666666666666666,6,,0.7406548550281483,1.1302746950270894
2025-07-01~2026-01-01,smc_loose,1.1,0.002,-3398.8699999999953,0.0,6,,0.0,0.0
2025-07-01~2026-01-01,smc_loose,1.1,0.003,-3500.1300000000047,0.0,4,,0.0,0.0
2025-07-01~2026-01-01,smc_loose,1.1,0.004,-3500.1300000000047,0.0,4,,0.0,0.0
2025-07-01~2026-01-01,smc_loose,1.1,0.005,-3148.279999999999,0.0,3,,0.0,0.0
2025-07-01~2026-01-01,smc_loose,1.15,0.002,-3398.8699999999953,0.0,6,,0.0,0.0
2025-07-01~2026-01-01,smc_loose,1.15,0.003,-3500.1300000000047,0.0,4,,0.0,0.0
2025-07-01~2026-01-01,smc_loose,1.15,0.004,-3500.1300000000047,0.0,4,,0.0,0.0
2025-07-01~2026-01-01,smc_loose,1.15,0.005,-3148.279999999999,0.0,3,,0.0,0.0
2025-07-01~2026-01-01,smc_loose,1.2,0.002,-3398.8699999999953,0.0,6,,0.0,0.0
2025-07-01~2026-01-01,smc_loose,1.2,0.003,-3500.1300000000047,0.0,4,,0.0,0.0
2025-07-01~2026-01-01,smc_loose,1.2,0.004,-3500.1300000000047,0.0,4,,0.0,0.0
2025-07-01~2026-01-01,smc_loose,1.2,0.005,-3148.279999999999,0.0,3,,0.0,0.0
